Time (s) Auto,Angle (rad) Minus 3pi/4,Angular Velocity (rad/s) Minus 3pi/4
241.36,0.858,9.634
241.38,1.046,9.032
241.4,1.221,8.338
241.42,1.381,7.566
241.44,1.524,6.754
241.46,1.651,5.917
241.48,1.761,5.066
241.5,1.854,4.189
241.52,1.929,3.286
241.54,1.985,2.356
241.56,2.023,1.414
241.58,2.042,0.471
241.6,2.042,-0.484
241.62,2.023,-1.466
241.64,1.984,-2.474
241.66,1.924,-3.521
241.68,1.844,-4.608
241.7,1.74,-5.733
241.72,1.615,-6.898
241.74,1.466,-8.077
241.76,1.291,-9.242
241.78,1.095,-10.354
241.8,0.877,-11.388
241.82,0.638,-12.305
241.84,0.382,-13.038
241.86,0.113,-13.548
241.88,-0.163,-13.797
241.9,-0.443,-13.771
241.92,-0.718,-13.47
241.94,-0.985,-12.92
241.96,-1.238,-12.161
241.98,-1.473,-11.218
242,-1.689,-10.145
242.02,-1.88,-8.967
242.04,-2.048,-7.697
242.06,-2.19,-6.362
242.08,-2.303,-5
242.1,-2.389,-3.626
242.12,-2.449,-2.225
242.14,-2.479,-0.798
242.16,-2.48,0.641
242.18,-2.454,2.094
242.2,-2.397,3.574
242.22,-2.311,5.066
242.24,-2.194,6.584
242.26,-2.048,8.142
242.28,-1.869,9.713
242.3,-1.659,11.244
242.32,-1.418,12.671
242.34,-1.15,13.967
242.36,-0.858,15.08
242.38,-0.543,15.931
242.4,-0.215,16.454
242.42,0.119,16.637
242.44,0.454,16.52
242.46,0.784,16.14
242.48,1.103,15.551
242.5,1.407,14.818
242.52,1.696,14.019
242.54,1.968,13.195
242.56,2.224,12.383
242.58,2.463,11.624
242.6,2.688,10.93
242.62,2.9,10.302
242.64,3.099,9.726
242.66,3.288,9.215
242.68,3.467,8.783
242.7,3.638,8.391
242.72,3.803,8.011
242.74,3.958,7.631
242.76,4.108,7.239
242.78,4.249,6.82
242.8,4.381,6.349
242.82,4.503,5.812
242.84,4.615,5.197
242.86,4.712,4.516
242.88,4.796,3.77
242.9,4.865,2.971
242.92,4.915,2.121
242.94,4.95,1.244
242.96,4.965,0.353
242.98,4.964,-0.55
243,4.943,-1.427
243.02,4.906,-2.251
243.04,4.852,-3.037
243.06,4.785,-3.783
243.08,4.7,-4.477
243.1,4.604,-5.092
243.12,4.496,-5.616
243.14,4.378,-6.074
243.16,4.252,-6.466
243.18,4.119,-6.807
243.2,3.979,-7.108
243.22,3.834,-7.383
243.24,3.684,-7.645
243.26,3.528,-7.906
243.28,3.368,-8.181
243.3,3.201,-8.495
243.32,3.028,-8.862
243.34,2.848,-9.294
243.36,2.658,-9.804
243.38,2.457,-10.38
243.4,2.243,-11.009
243.42,2.017,-11.676
243.44,1.777,-12.357
243.46,1.522,-13.011
243.48,1.255,-13.587
243.5,0.977,-14.046
243.52,0.691,-14.347
243.54,0.401,-14.438
243.56,0.11,-14.268
243.58,-0.174,-13.823
243.6,-0.446,-13.116
243.62,-0.702,-12.174
243.64,-0.936,-11.035
243.66,-1.145,-9.752
243.68,-1.327,-8.364
243.7,-1.481,-6.885
243.72,-1.604,-5.354
243.74,-1.695,-3.822
243.76,-1.756,-2.317
243.78,-1.788,-0.838
243.8,-1.789,0.602
243.82,-1.762,1.977
243.84,-1.709,3.286
243.86,-1.63,4.529
243.88,-1.527,5.694
243.9,-1.401,6.754
243.92,-1.255,7.684
243.94,-1.092,8.456
243.96,-0.914,9.045
243.98,-0.727,9.438
244,-0.534,9.621
244.02,-0.339,9.582
244.04,-0.148,9.32
244.06,0.036,8.862
244.08,0.209,8.234
244.1,0.368,7.461
244.12,0.509,6.558
244.14,0.631,5.563
244.16,0.732,4.516
244.18,0.812,3.443
244.2,0.87,2.369
244.22,0.906,1.309
244.24,0.922,0.301
244.26,0.917,-0.654
244.28,0.895,-1.558
244.3,0.855,-2.395
244.32,0.798,-3.142
244.34,0.727,-3.796
244.36,0.646,-4.359
244.38,0.551,-4.817
244.4,0.451,-5.144
244.42,0.344,-5.341
244.44,0.236,-5.432
244.46,0.126,-5.393
244.48,0.017,-5.21
244.5,-0.085,-4.883
244.52,-0.179,-4.438
244.54,-0.264,-3.901
244.56,-0.336,-3.272
244.58,-0.396,-2.566
244.6,-0.44,-1.806
244.62,-0.468,-1.034
244.64,-0.481,-0.275
244.66,-0.479,0.484
244.68,-0.462,1.217
244.7,-0.429,1.898
244.72,-0.385,2.5
244.74,-0.328,3.037
244.76,-0.262,3.495
244.78,-0.187,3.848
244.8,-0.107,4.084
244.82,-0.022,4.202
244.84,0.063,4.215
244.86,0.148,4.11
244.88,0.229,3.888
244.9,0.305,3.56
244.92,0.372,3.142
244.94,0.432,2.618
244.96,0.479,2.003
244.98,0.512,1.335
245,0.533,0.628
245.02,0.539,-0.118
245.04,0.528,-0.903
245.06,0.503,-1.689
245.08,0.46,-2.448
245.1,0.404,-3.181
245.12,0.333,-3.875
245.14,0.248,-4.529
245.16,0.151,-5.105
245.18,0.042,-5.563
245.2,-0.074,-5.89
245.22,-0.195,-6.087
245.24,-0.319,-6.139
245.26,-0.443,-6.034
245.28,-0.562,-5.76
245.3,-0.675,-5.328
245.32,-0.778,-4.765
245.34,-0.867,-4.084
245.36,-0.942,-3.299
245.38,-1.001,-2.422
245.4,-1.04,-1.479
245.42,-1.06,-0.511
245.44,-1.06,0.484
245.46,-1.041,1.505
245.48,-1.001,2.539
245.5,-0.939,3.547
245.52,-0.858,4.49
245.54,-0.759,5.367
245.56,-0.642,6.165
245.58,-0.511,6.872
245.6,-0.366,7.461
245.62,-0.21,7.919
245.64,-0.047,8.221
245.66,0.121,8.351
245.68,0.289,8.325
245.7,0.456,8.142
245.72,0.617,7.828
245.74,0.77,7.396
245.76,0.914,6.859
245.78,1.046,6.244
245.8,1.164,5.55
245.82,1.269,4.817
245.84,1.357,4.032
245.86,1.431,3.194
245.88,1.486,2.33
245.9,1.524,1.44
245.92,1.544,0.55
245.94,1.546,-0.367
245.96,1.53,-1.309
245.98,1.494,-2.278
246,1.439,-3.259
246.02,1.363,-4.254
246.04,1.269,-5.262
246.06,1.153,-6.257
246.08,1.018,-7.226
246.1,0.864,-8.142
246.12,0.691,-8.98
246.14,0.503,-9.7
246.16,0.302,-10.276
246.18,0.09,-10.708
246.2,-0.129,-10.956
246.22,-0.352,-10.996
246.24,-0.572,-10.825
246.26,-0.787,-10.459
246.28,-0.993,-9.909
246.3,-1.186,-9.189
246.32,-1.362,-8.325
246.34,-1.521,-7.357
246.36,-1.657,-6.296
246.38,-1.773,-5.157
246.4,-1.865,-3.953
246.42,-1.932,-2.697
246.44,-1.973,-1.414
246.46,-1.989,-0.092
246.48,-1.978,1.244
246.5,-1.938,2.605
246.52,-1.874,3.966
246.54,-1.78,5.341
246.56,-1.66,6.715
246.58,-1.511,8.05
246.6,-1.337,9.333
246.62,-1.137,10.511
246.64,-0.914,11.545
246.66,-0.672,12.396
246.68,-0.416,13.038
246.7,-0.148,13.43
246.72,0.126,13.548
246.74,0.397,13.417
246.76,0.664,13.09
246.78,0.924,12.593
246.8,1.17,11.951
246.82,1.403,11.218
246.84,1.619,10.433
246.86,1.821,9.621
246.88,2.004,8.81
246.9,2.172,8.024
246.92,2.325,7.278
246.94,2.463,6.558
246.96,2.587,5.877
246.98,2.697,5.236
247,2.796,4.621
247.02,2.882,4.032
247.04,2.956,3.456
247.06,3.021,2.906
247.08,3.072,2.356
247.1,3.115,1.78
247.12,3.145,1.191
247.14,3.162,0.589
247.16,3.168,-0.026
247.18,3.162,-0.694
247.2,3.142,-1.414
247.22,3.105,-2.173
247.24,3.055,-2.971
247.26,2.988,-3.835
247.28,2.903,-4.765
247.3,2.798,-5.76
247.32,2.673,-6.833
247.34,2.526,-7.972
247.36,2.355,-9.176
247.38,2.16,-10.433
247.4,1.938,-11.729
247.42,1.69,-13.025
247.44,1.417,-14.268
247.46,1.118,-15.407
247.48,0.798,-16.362
247.5,0.46,-17.056
247.52,0.112,-17.423
247.54,-0.242,-17.423
247.56,-0.591,-17.043
247.58,-0.928,-16.297
247.6,-1.247,-15.263
247.62,-1.541,-14.006
247.64,-1.81,-12.593
247.66,-2.047,-11.074
247.68,-2.253,-9.49
247.7,-2.427,-7.893
247.72,-2.568,-6.283
247.74,-2.678,-4.66
247.76,-2.755,-3.037
247.78,-2.799,-1.427
247.8,-2.812,0.157
247.82,-2.793,1.741
247.84,-2.743,3.351
247.86,-2.659,4.987
247.88,-2.543,6.624
247.9,-2.394,8.273
247.92,-2.213,9.935
247.94,-1.996,11.598
247.96,-1.748,13.221
247.98,-1.467,14.739
248,-1.156,16.074
248.02,-0.82,17.122
248.04,-0.467,17.842
248.06,-0.102,18.195
248.08,0.267,18.156
248.1,0.63,17.75
248.12,0.98,17.069
248.14,1.315,16.218
248.16,1.63,15.263
248.18,1.926,14.255
248.2,2.201,13.234
248.22,2.455,12.226
248.24,2.689,11.27
248.26,2.904,10.38
248.28,3.104,9.543
248.3,3.286,8.757
248.32,3.453,8.024
248.34,3.607,7.33
248.36,3.746,6.65
248.38,3.872,5.969
248.4,3.985,5.301
248.42,4.084,4.634
248.44,4.17,3.966
248.46,4.243,3.286
248.48,4.302,2.605
248.5,4.346,1.924
248.52,4.379,1.257
248.54,4.397,0.615
248.56,4.403,0
248.58,4.397,-0.576
248.6,4.379,-1.126
248.62,4.351,-1.623
248.64,4.313,-2.081
248.66,4.268,-2.487
248.68,4.213,-2.841
248.7,4.153,-3.155
248.72,4.087,-3.43
248.74,4.015,-3.665
248.76,3.94,-3.848
248.78,3.861,-4.006
248.8,3.779,-4.15
248.82,3.695,-4.28
248.84,3.608,-4.398
248.86,3.519,-4.503
248.88,3.427,-4.621
248.9,3.335,-4.752
248.92,3.237,-4.909
248.94,3.138,-5.092
248.96,3.035,-5.301
248.98,2.926,-5.563
249,2.813,-5.89
249.02,2.692,-6.283
249.04,2.562,-6.741
249.06,2.424,-7.252
249.08,2.273,-7.815
249.1,2.111,-8.43
249.12,1.937,-9.084
249.14,1.748,-9.778
249.16,1.546,-10.485
249.18,1.329,-11.179
249.2,1.098,-11.82
249.22,0.855,-12.37
249.24,0.602,-12.776
249.26,0.341,-13.011
249.28,0.079,-13.038
249.3,-0.184,-12.841
249.32,-0.438,-12.422
249.34,-0.683,-11.794
249.36,-0.913,-11.009
249.38,-1.125,-10.092
249.4,-1.318,-9.071
249.42,-1.489,-7.959
249.44,-1.637,-6.807
249.46,-1.761,-5.668
249.48,-1.863,-4.529
249.5,-1.943,-3.377
249.52,-1.998,-2.238
249.54,-2.031,-1.126
249.56,-2.044,-0.039
249.58,-2.033,1.034
249.6,-2.001,2.094
249.62,-1.949,3.142
249.64,-1.876,4.189
249.66,-1.781,5.236
249.68,-1.667,6.257
249.7,-1.53,7.252
249.72,-1.376,8.194
249.74,-1.202,9.071
249.76,-1.012,9.857
249.78,-0.806,10.511
249.8,-0.589,11.009
249.82,-0.363,11.297
249.84,-0.134,11.375
249.86,0.094,11.257
249.88,0.319,10.982
249.9,0.536,10.537
249.92,0.743,9.935
249.94,0.935,9.228
249.96,1.112,8.469
249.98,1.274,7.684
250,1.42,6.859
250.02,1.549,6.021
250.04,1.66,5.197
250.06,1.756,4.385
250.08,1.836,3.587
250.1,1.899,2.801
250.12,1.948,2.029
250.14,1.981,1.27
250.16,1.998,0.524
250.18,2.001,-0.209
250.2,1.99,-0.929
250.22,1.963,-1.649
250.24,1.924,-2.382
250.26,1.869,-3.129
250.28,1.799,-3.901
250.3,1.714,-4.699
250.32,1.612,-5.524
250.34,1.492,-6.349
250.36,1.357,-7.16
250.38,1.206,-7.972
250.4,1.038,-8.757
250.42,0.855,-9.477
250.44,0.658,-10.092
250.46,0.449,-10.577
250.48,0.232,-10.904
250.5,0.011,-11.061
250.52,-0.212,-11.048
250.54,-0.434,-10.852
250.56,-0.649,-10.472
250.58,-0.855,-9.935
250.6,-1.048,-9.268
250.62,-1.227,-8.495
250.64,-1.389,-7.631
250.66,-1.533,-6.689
250.68,-1.657,-5.681
250.7,-1.761,-4.634
250.72,-1.843,-3.56
250.74,-1.904,-2.448
250.76,-1.942,-1.322
250.78,-1.956,-0.183
250.8,-1.949,0.969
250.82,-1.918,2.134
250.84,-1.863,3.312
250.86,-1.786,4.49
250.88,-1.684,5.681
250.9,-1.558,6.859
250.92,-1.409,7.998
250.94,-1.238,9.084
250.96,-1.045,10.079
250.98,-0.833,10.943
251,-0.605,11.611
251.02,-0.364,12.056
251.04,-0.119,12.278
251.06,0.129,12.291
251.08,0.375,12.095
251.1,0.616,11.702
251.12,0.845,11.153
251.14,1.063,10.511
251.16,1.266,9.804
251.18,1.456,9.032
251.2,1.629,8.234
251.22,1.784,7.422
251.24,1.926,6.637
251.26,2.05,5.864
251.28,2.16,5.092
251.3,2.254,4.346
251.32,2.333,3.626
251.34,2.399,2.945
251.36,2.45,2.291
251.38,2.49,1.636
251.4,2.516,0.982
251.42,2.529,0.314
251.44,2.529,-0.367
251.46,2.515,-1.06
251.48,2.487,-1.78
251.5,2.444,-2.539
251.52,2.386,-3.351
251.54,2.311,-4.241
251.56,2.218,-5.21
251.58,2.103,-6.257
251.6,1.968,-7.357
251.62,1.81,-8.508
251.64,1.629,-9.7
251.66,1.422,-10.891
251.68,1.192,-12.043
251.7,0.939,-13.103
251.72,0.666,-14.032
251.74,0.375,-14.752
251.76,0.072,-15.224
251.78,-0.237,-15.407
251.8,-0.548,-15.289
251.82,-0.853,-14.883
251.84,-1.147,-14.229
251.86,-1.425,-13.378
251.88,-1.684,-12.357
251.9,-1.921,-11.205
251.92,-2.133,-9.961
251.94,-2.32,-8.679
251.96,-2.48,-7.396
251.98,-2.615,-6.113
252,-2.725,-4.817
252.02,-2.809,-3.508
252.04,-2.865,-2.212
252.06,-2.897,-0.929
252.08,-2.903,0.367
252.1,-2.882,1.702
252.12,-2.835,3.076
252.14,-2.76,4.503
252.16,-2.656,5.982
252.18,-2.521,7.501
252.2,-2.356,9.071
252.22,-2.16,10.681
252.24,-1.929,12.305
252.26,-1.667,13.875
252.28,-1.373,15.328
252.3,-1.051,16.598
252.32,-0.705,17.593
252.34,-0.342,18.247
252.36,0.03,18.535
252.38,0.404,18.47
252.4,0.773,18.09
252.42,1.131,17.475
252.44,1.473,16.703
252.46,1.8,15.865
252.48,2.108,15.027
252.5,2.4,14.229
252.52,2.677,13.496
252.54,2.939,12.841
252.56,3.189,12.291
252.58,3.429,11.846
252.6,3.662,11.467
252.62,3.888,11.1
252.64,4.106,10.734
252.66,4.317,10.341
252.68,4.521,9.883
252.7,4.714,9.32
252.72,4.895,8.639
252.74,5.061,7.841
252.76,5.21,6.898
252.78,5.339,5.799
252.8,5.444,4.581
252.82,5.523,3.272
252.84,5.576,1.898
252.86,5.6,0.484
252.88,5.595,-0.916
252.9,5.562,-2.265
252.92,5.504,-3.56
252.94,5.419,-4.778
252.96,5.311,-5.89
252.98,5.182,-6.872
253,5.034,-7.723
253.02,4.871,-8.456
253.04,4.695,-9.058
253.06,4.507,-9.543
253.08,4.312,-9.935
253.1,4.109,-10.249
253.12,3.9,-10.537
253.14,3.688,-10.799
253.16,3.468,-11.087
253.18,3.245,-11.428
253.2,3.013,-11.833
253.22,2.772,-12.331
253.24,2.521,-12.907
253.26,2.257,-13.574
253.28,1.979,-14.294
253.3,1.685,-15.001
253.32,1.378,-15.656
253.34,1.059,-16.192
253.36,0.727,-16.533
253.38,0.393,-16.611
253.4,0.06,-16.389
253.42,-0.267,-15.865
253.44,-0.58,-15.027
253.46,-0.872,-13.902
253.48,-1.139,-12.566
253.5,-1.376,-11.074
253.52,-1.583,-9.464
253.54,-1.756,-7.789
253.56,-1.894,-6.074
253.58,-2,-4.359
253.6,-2.069,-2.657
253.62,-2.105,-0.995
253.64,-2.108,0.615
253.66,-2.08,2.173
253.68,-2.02,3.678
253.7,-1.932,5.131
253.72,-1.814,6.532
253.74,-1.67,7.854
253.76,-1.499,9.045
253.78,-1.305,10.092
253.8,-1.093,10.969
253.82,-0.864,11.637
253.84,-0.624,12.03
253.86,-0.379,12.134
253.88,-0.135,11.964
253.9,0.104,11.519
253.92,0.33,10.812
253.94,0.539,9.883
253.96,0.727,8.81
253.98,0.892,7.618
254,1.034,6.336
254.02,1.147,5
254.04,1.233,3.639
254.06,1.293,2.291
254.08,1.324,0.956
254.1,1.33,-0.34
254.12,1.31,-1.571
254.14,1.266,-2.749
254.16,1.2,-3.862
254.18,1.111,-4.896
254.2,1.002,-5.825
254.22,0.877,-6.637
254.24,0.735,-7.33
254.26,0.581,-7.88
254.28,0.418,-8.26
254.3,0.248,-8.456
254.32,0.077,-8.443
254.34,-0.093,-8.234
254.36,-0.254,-7.828
254.38,-0.408,-7.226
254.4,-0.547,-6.453
254.42,-0.668,-5.537
254.44,-0.77,-4.503
254.46,-0.85,-3.377
254.48,-0.905,-2.199
254.5,-0.938,-0.995
254.52,-0.946,0.223
254.54,-0.928,1.414
254.56,-0.888,2.553
254.58,-0.826,3.626
254.6,-0.741,4.621
254.62,-0.639,5.498
254.64,-0.52,6.244
254.66,-0.388,6.846
254.68,-0.243,7.278
254.7,-0.094,7.54
254.72,0.06,7.618
254.74,0.214,7.527
254.76,0.363,7.239
254.78,0.506,6.794
254.8,0.636,6.218
254.82,0.756,5.511
254.84,0.859,4.699
254.86,0.944,3.783
254.88,1.012,2.801
254.9,1.057,1.767
254.92,1.082,0.681
254.94,1.085,-0.419
254.96,1.065,-1.545
254.98,1.024,-2.67
255,0.958,-3.796
255.02,0.872,-4.896
255.04,0.762,-5.93
255.06,0.633,-6.885
255.08,0.485,-7.736
255.1,0.322,-8.456
255.12,0.145,-9.006
255.14,-0.041,-9.359
255.16,-0.232,-9.503
255.18,-0.424,-9.425
255.2,-0.613,-9.124
255.22,-0.792,-8.613
255.24,-0.96,-7.919
255.26,-1.111,-7.055
255.28,-1.244,-6.061
255.3,-1.354,-4.961
255.32,-1.444,-3.757
255.34,-1.506,-2.487
255.36,-1.543,-1.165
255.38,-1.554,0.17
255.4,-1.536,1.518
255.42,-1.492,2.88
255.44,-1.422,4.241
255.46,-1.323,5.576
255.48,-1.197,6.859
255.5,-1.048,8.05
255.52,-0.873,9.137
255.54,-0.68,10.066
255.56,-0.468,10.799
255.58,-0.245,11.323
255.6,-0.013,11.624
255.62,0.223,11.702
255.64,0.459,11.545
255.66,0.688,11.192
255.68,0.908,10.681
255.7,1.117,10.066
255.72,1.312,9.346
255.74,1.492,8.548
255.76,1.654,7.697
255.78,1.8,6.833
255.8,1.927,5.969
255.82,2.039,5.079
255.84,2.132,4.176
255.86,2.205,3.272
255.88,2.262,2.369
255.9,2.301,1.453
255.92,2.32,0.511
255.94,2.322,-0.458
255.96,2.303,-1.453
255.98,2.264,-2.5
256,2.204,-3.574
256.02,2.121,-4.699
256.04,2.017,-5.877
256.06,1.887,-7.108
256.08,1.733,-8.378
256.1,1.552,-9.647
256.12,1.346,-10.917
256.14,1.115,-12.121
256.16,0.859,-13.221
256.18,0.584,-14.137
256.2,0.291,-14.818
256.22,-0.013,-15.224
256.24,-0.322,-15.302
256.26,-0.63,-15.067
256.28,-0.928,-14.517
256.3,-1.214,-13.705
256.32,-1.48,-12.697
256.34,-1.723,-11.532
256.36,-1.943,-10.263
256.38,-2.135,-8.901
256.4,-2.3,-7.474
256.42,-2.435,-6.021
256.44,-2.54,-4.555
256.46,-2.617,-3.089
256.48,-2.664,-1.61
256.5,-2.681,-0.118
256.52,-2.669,1.374
256.54,-2.626,2.893
256.56,-2.554,4.438
256.58,-2.449,6.021
256.6,-2.314,7.631
256.62,-2.144,9.255
256.64,-1.943,10.891
256.66,-1.709,12.488
256.68,-1.442,13.993
256.7,-1.147,15.341
256.72,-0.826,16.454
256.74,-0.484,17.253
256.76,-0.13,17.685
256.78,0.228,17.763
256.8,0.584,17.527
256.82,0.933,17.017
256.84,1.268,16.297
256.86,1.587,15.472
256.88,1.887,14.608
256.9,2.171,13.744
256.92,2.436,12.907
256.94,2.686,12.121
256.96,2.92,11.414
256.98,3.142,10.773
257,3.351,10.197
257.02,3.548,9.673
257.04,3.737,9.189
257.06,3.916,8.718
257.08,4.086,8.234
257.1,4.246,7.723
257.12,4.395,7.173
257.14,4.533,6.558
257.16,4.659,5.877
257.18,4.769,5.118
257.2,4.865,4.28
257.22,4.942,3.39
257.24,5,2.461
257.26,5.041,1.505
257.28,5.061,0.537
257.3,5.061,-0.419
257.32,5.044,-1.335
257.34,5.008,-2.199
257.36,4.954,-2.998
257.38,4.887,-3.731
257.4,4.805,-4.398
257.42,4.709,-4.987
257.44,4.604,-5.485
257.46,4.489,-5.904
257.48,4.367,-6.257
257.5,4.238,-6.532
257.52,4.104,-6.754
257.54,3.968,-6.938
257.56,3.826,-7.082
257.58,3.684,-7.213
257.6,3.539,-7.357
257.62,3.39,-7.527
257.64,3.237,-7.736
257.66,3.082,-7.998
257.68,2.919,-8.325
257.7,2.749,-8.705
257.72,2.571,-9.15
257.74,2.384,-9.687
257.76,2.185,-10.276
257.78,1.973,-10.891
257.8,1.75,-11.519
257.82,1.513,-12.161
257.84,1.263,-12.75
257.86,1.001,-13.234
257.88,0.732,-13.574
257.9,0.456,-13.718
257.92,0.179,-13.653
257.94,-0.093,-13.352
257.96,-0.358,-12.815
257.98,-0.609,-12.056
258,-0.842,-11.1
258.02,-1.056,-10.001
258.04,-1.244,-8.783
258.06,-1.407,-7.487
258.08,-1.544,-6.152
258.1,-1.654,-4.791
258.12,-1.736,-3.443
258.14,-1.791,-2.134
258.16,-1.821,-0.864
258.18,-1.825,0.367
258.2,-1.805,1.558
258.22,-1.762,2.683
258.24,-1.696,3.731
258.26,-1.612,4.712
258.28,-1.508,5.629
258.3,-1.385,6.48
258.32,-1.247,7.226
258.34,-1.095,7.854
258.36,-0.931,8.364
258.38,-0.759,8.731
258.4,-0.58,8.927
258.42,-0.399,8.954
258.44,-0.22,8.823
258.46,-0.044,8.548
258.48,0.124,8.129
258.5,0.283,7.592
258.52,0.429,6.964
258.54,0.562,6.257
258.56,0.68,5.485
258.58,0.782,4.673
258.6,0.867,3.862
258.62,0.936,3.05
258.64,0.99,2.238
258.66,1.026,1.44
258.68,1.046,0.681
258.7,1.052,-0.039
258.72,1.045,-0.72
258.74,1.023,-1.361
258.76,0.99,-1.95
258.78,0.944,-2.487
258.8,0.889,-2.985
258.82,0.825,-3.416
258.84,0.751,-3.796
258.86,0.672,-4.11
258.88,0.586,-4.346
258.9,0.496,-4.516
258.92,0.405,-4.608
258.94,0.311,-4.621
258.96,0.218,-4.555
258.98,0.129,-4.424
259,0.041,-4.228
259.02,-0.042,-3.966
259.04,-0.118,-3.639
259.06,-0.188,-3.272
259.08,-0.25,-2.88
259.1,-0.303,-2.461
259.12,-0.349,-2.029
259.14,-0.385,-1.597
259.16,-0.412,-1.178
259.18,-0.432,-0.785
259.2,-0.443,-0.419
259.22,-0.448,-0.079
259.24,-0.446,0.209
259.26,-0.438,0.432
259.28,-0.427,0.602
259.3,-0.415,0.733
259.32,-0.397,0.825
259.34,-0.38,0.851
259.36,-0.363,0.825
259.38,-0.347,0.785
259.4,-0.331,0.733
259.42,-0.317,0.654
259.44,-0.305,0.55
259.46,-0.295,0.432
259.48,-0.287,0.327
259.5,-0.283,0.249
259.52,-0.278,0.196
259.54,-0.275,0.183
259.56,-0.272,0.196
259.58,-0.267,0.236
259.6,-0.262,0.301
259.62,-0.256,0.393
259.64,-0.247,0.524
259.66,-0.236,0.694
259.68,-0.22,0.89
259.7,-0.199,1.086
259.72,-0.176,1.27
259.74,-0.149,1.466
259.76,-0.118,1.689
259.78,-0.082,1.898
259.8,-0.041,2.068
259.82,0.002,2.212
259.84,0.047,2.343
259.86,0.096,2.448
259.88,0.146,2.513
259.9,0.196,2.539
259.92,0.248,2.526
259.94,0.298,2.461
259.96,0.347,2.356
259.98,0.393,2.225
260,0.437,2.055
260.02,0.476,1.833
260.04,0.511,1.558
260.06,0.539,1.257
260.08,0.561,0.929
260.1,0.576,0.576
260.12,0.584,0.196
260.14,0.584,-0.209
260.16,0.576,-0.641
260.18,0.559,-1.086
260.2,0.533,-1.518
260.22,0.498,-1.95
260.24,0.456,-2.395
260.26,0.402,-2.854
260.28,0.341,-3.286
260.3,0.27,-3.691
260.32,0.193,-4.071
260.34,0.107,-4.398
260.36,0.016,-4.673
260.38,-0.08,-4.883
260.4,-0.181,-5.04
260.42,-0.283,-5.118
260.44,-0.386,-5.092
260.46,-0.489,-4.961
260.48,-0.586,-4.739
260.5,-0.679,-4.438
260.52,-0.765,-4.045
260.54,-0.842,-3.56
260.56,-0.908,-3.011
260.58,-0.963,-2.395
260.6,-1.005,-1.715
260.62,-1.032,-0.982
260.64,-1.045,-0.223
260.66,-1.041,0.563
260.68,-1.023,1.374
260.7,-0.986,2.199
260.72,-0.935,3.011
260.74,-0.866,3.796
260.76,-0.782,4.542
260.78,-0.683,5.236
260.8,-0.572,5.864
260.82,-0.448,6.401
260.84,-0.314,6.846
260.86,-0.173,7.16
260.88,-0.025,7.343
260.9,0.123,7.396
260.92,0.272,7.33
260.94,0.418,7.16
260.96,0.559,6.859
260.98,0.694,6.453
261,0.818,5.969
261.02,0.933,5.419
261.04,1.037,4.83
261.06,1.126,4.189
261.08,1.205,3.495
261.1,1.268,2.762
261.12,1.315,2.016
261.14,1.348,1.27
261.16,1.367,0.497
261.18,1.368,-0.301
261.2,1.354,-1.113
261.22,1.324,-1.911
261.24,1.277,-2.723
261.26,1.216,-3.534
261.28,1.136,-4.359
261.3,1.041,-5.184
261.32,0.928,-5.969
261.34,0.801,-6.715
261.36,0.66,-7.396
261.38,0.504,-8.011
261.4,0.338,-8.522
261.42,0.162,-8.901
261.44,-0.02,-9.137
261.46,-0.206,-9.215
261.48,-0.391,-9.15
261.5,-0.573,-8.927
261.52,-0.751,-8.561
261.54,-0.917,-8.05
261.56,-1.074,-7.409
261.58,-1.216,-6.663
261.6,-1.341,-5.812
261.62,-1.45,-4.896
261.64,-1.538,-3.927
261.66,-1.607,-2.906
261.68,-1.656,-1.82
261.7,-1.681,-0.681
261.72,-1.682,0.471
261.74,-1.662,1.623
261.76,-1.618,2.801
261.78,-1.55,3.992
261.8,-1.458,5.171
261.82,-1.343,6.309
261.84,-1.205,7.409
261.86,-1.046,8.443
261.88,-0.866,9.372
261.9,-0.669,10.158
261.92,-0.457,10.747
261.94,-0.236,11.14
261.96,-0.009,11.336
261.98,0.22,11.336
262,0.448,11.14
262.02,0.668,10.76
262.04,0.88,10.236
262.06,1.079,9.621
262.08,1.264,8.927
262.1,1.437,8.181
262.12,1.593,7.396
262.14,1.733,6.597
262.16,1.857,5.812
262.18,1.965,5.013
262.2,2.058,4.215
262.22,2.133,3.416
262.24,2.194,2.618
262.26,2.238,1.833
262.28,2.267,1.047
262.3,2.281,0.249
262.32,2.278,-0.576
262.34,2.257,-1.414
262.36,2.221,-2.265
262.38,2.168,-3.155
262.4,2.095,-4.11
262.42,2.004,-5.118
262.44,1.891,-6.178
262.46,1.758,-7.291
262.48,1.601,-8.43
262.5,1.42,-9.582
262.52,1.217,-10.721
262.54,0.991,-11.807
262.56,0.743,-12.776
262.58,0.478,-13.561
262.6,0.198,-14.124
262.62,-0.091,-14.438
262.64,-0.383,-14.478
262.66,-0.674,-14.229
262.68,-0.957,-13.718
262.7,-1.225,-12.985
262.72,-1.478,-12.069
262.74,-1.711,-11.009
262.76,-1.92,-9.831
262.78,-2.105,-8.574
262.8,-2.264,-7.278
262.82,-2.395,-5.956
262.84,-2.502,-4.608
262.86,-2.581,-3.233
262.88,-2.631,-1.846
262.9,-2.655,-0.471
262.92,-2.65,0.903
262.94,-2.619,2.304
262.96,-2.559,3.744
262.98,-2.469,5.236
263,-2.35,6.754
