"Time (s) Run #1","Angle, Ch P2 (rad) Run #1","Angular Velocity, Ch P2 (rad/s) Run #1","State Run #1"
21.300,-4.607,-6.995,
21.350,-4.953,-5.791,
21.400,-5.213,-3.854,
21.450,-5.355,-1.440,
21.500,-5.361,1.089,
21.550,-5.237,3.362,
21.600,-5.005,5.063,
21.650,-4.703,5.990,
21.700,-4.376,6.095,
21.750,-4.068,5.461,
21.800,-3.811,4.252,
21.850,-3.630,2.644,
21.900,-3.539,0.801,
21.950,-3.547,-1.136,
22.000,-3.654,-3.042,
22.050,-3.856,-4.754,
22.100,-4.142,-6.074,
22.150,-4.485,-6.754,
22.200,-4.847,-6.582,
22.218,,,1.00
22.250,-5.177,-5.451,
22.300,-5.424,-3.445,
22.312,,,0.00
22.350,-5.543,-0.853,
22.400,-5.515,1.937,
22.450,-5.342,4.519,
22.500,-5.044,6.555,
22.550,-4.659,7.823,
22.600,-4.232,8.273,
22.650,-3.808,8.042,
22.700,-3.413,7.367,
22.750,-3.065,6.461,
22.800,-2.765,5.466,
22.850,-2.518,4.451,
22.900,-2.320,3.440,
22.950,-2.174,2.456,
23.000,-2.077,1.524,
23.050,-2.025,0.691,
23.100,-2.012,0.005,
23.150,-2.031,-0.487,
23.200,-2.069,-0.764,
23.250,-2.114,-0.838,
23.271,,,1.00
23.300,-2.158,-0.728,
23.350,-2.193,-0.450,
23.364,,,0.00
23.400,-2.209,-0.021,
23.450,-2.199,0.534,
23.500,-2.158,1.199,
23.550,-2.083,1.958,
23.600,-1.965,2.791,
23.650,-1.805,3.676,
23.700,-1.599,4.592,
23.750,-1.346,5.508,
23.800,-1.046,6.325,
23.850,-0.705,6.891,
23.900,-0.342,6.995,
23.950,0.017,6.435,
24.000,0.330,5.110,
24.050,0.553,3.126,
24.100,0.655,0.780,
24.150,0.630,-1.545,
24.200,0.487,-3.492,
24.250,0.258,-4.801,
24.300,-0.020,-5.346,
24.324,,,1.00
24.350,-0.303,-5.147,
24.400,-0.556,-4.335,
24.416,,,0.00
24.450,-0.751,-3.089,
24.500,-0.873,-1.587,
24.550,-0.913,0.021,
24.600,-0.870,1.623,
24.650,-0.748,3.126,
24.700,-0.551,4.424,
24.750,-0.294,5.362,
24.800,0.003,5.739,
24.850,0.306,5.383,
24.900,0.570,4.220,
24.950,0.754,2.335,
25.000,0.822,-0.026,
25.050,0.756,-2.529,
25.100,0.561,-4.817,
25.150,0.256,-6.587,
25.200,-0.124,-7.634,
25.250,-0.536,-7.917,
25.300,-0.938,-7.566,
25.350,-1.305,-6.817,
25.375,,,1.00
25.400,-1.624,-5.896,
25.450,-1.894,-4.964,
25.470,,,0.00
25.500,-2.117,-4.110,
25.550,-2.301,-3.367,
25.600,-2.450,-2.738,
25.650,-2.571,-2.231,
25.700,-2.669,-1.864,
25.750,-2.752,-1.670,
25.800,-2.829,-1.670,
25.850,-2.912,-1.895,
25.900,-3.010,-2.382,
25.950,-3.140,-3.168,
26.000,-3.316,-4.267,
26.050,-3.556,-5.623,
26.100,-3.874,-7.084,
26.150,-4.269,-8.341,
26.200,-4.728,-8.995,
26.250,-5.204,-8.676,
26.300,-5.638,-7.199,
26.350,-5.963,-4.655,
26.400,-6.129,-1.351,
26.423,,,1.00
26.450,-6.109,2.278,
26.500,-5.897,5.781,
26.517,,,0.00
26.550,-5.512,8.713,
26.600,-4.992,10.718,
26.650,-4.400,11.687,
26.700,-3.793,11.833,
26.750,-3.204,11.587,
26.800,-2.637,11.373,
26.850,-2.080,11.467,
26.900,-1.506,11.907,
26.950,-0.895,12.435,
27.000,-0.250,12.519,
27.050,0.394,11.572,
27.100,0.960,9.252,
27.150,1.367,5.660,
27.200,1.554,1.288,
27.250,1.499,-3.215,
27.300,1.214,-7.199,
27.350,0.741,-10.121,
27.400,0.151,-11.666,
27.450,-0.474,-11.875,
27.475,,,1.00
27.500,-1.070,-11.153,
27.550,-1.601,-10.048,
27.566,,,0.00
27.600,-2.069,-9.006,
