"Time (s) Run #4","Angle, Ch P2 (rad) Run #4","Angular Velocity, Ch P2 (rad/s) Run #4","State Run #4"
8.580,-0.336,5.040,
8.600,-0.237,4.869,
8.620,-0.141,4.712,
8.640,-0.049,4.555,
8.660,0.041,4.411,
8.680,0.127,4.267,
8.700,0.212,4.123,
8.720,0.292,3.979,
8.740,0.371,3.835,
8.760,0.446,3.691,
8.780,0.518,3.547,
8.800,0.587,3.403,
8.820,0.655,3.246,
8.840,0.718,3.076,
8.860,0.778,2.893,
8.880,0.834,2.736,
8.900,0.886,2.592,
8.920,0.938,2.461,
8.940,0.985,2.330,
8.960,1.030,2.212,
8.980,1.073,2.134,
9.000,1.115,2.081,
9.020,1.156,2.068,
9.040,1.197,2.094,
9.060,1.239,2.160,
9.080,1.283,2.251,
9.100,1.329,2.382,
9.120,1.378,2.553,
9.140,1.431,2.762,
9.155,,,1.00
9.160,1.488,3.011,
9.180,1.550,3.286,
9.200,1.619,3.587,
9.220,1.693,3.901,
9.234,,,0.00
9.240,1.775,4.228,
9.260,1.863,4.542,
9.280,1.957,4.830,
9.300,2.056,5.118,
9.320,2.161,5.380,
9.340,2.273,5.576,
9.360,2.386,5.694,
9.380,2.501,5.733,
9.400,2.617,5.694,
9.420,2.730,5.550,
9.440,2.840,5.301,
9.460,2.944,4.961,
9.480,3.039,4.516,
9.500,3.126,3.979,
9.520,3.200,3.351,
9.540,3.261,2.631,
9.560,3.307,1.833,
9.580,3.335,0.982,
9.600,3.346,0.131,
9.620,3.340,-0.733,
9.640,3.318,-1.610,
9.660,3.275,-2.474,
9.680,3.217,-3.312,
9.700,3.143,-4.110,
9.720,3.052,-4.869,
9.740,2.947,-5.563,
9.760,2.829,-6.165,
9.780,2.699,-6.689,
9.800,2.560,-7.134,
9.820,2.413,-7.487,
9.840,2.259,-7.749,
9.860,2.102,-7.933,
9.880,1.942,-8.050,
9.900,1.778,-8.103,
9.920,1.616,-8.103,
9.940,1.455,-8.090,
9.960,1.293,-8.077,
9.980,1.131,-8.037,
10.000,0.971,-7.998,
10.020,0.812,-7.985,
10.040,0.652,-8.011,
10.060,0.492,-8.050,
10.080,0.330,-8.116,
10.100,0.168,-8.247,
10.120,0.002,-8.430,
10.140,-0.170,-8.652,
10.160,-0.344,-8.901,
10.180,-0.525,-9.189,
10.200,-0.712,-9.516,
10.213,,,1.00
10.220,-0.905,-9.857,
10.240,-1.106,-10.197,
10.260,-1.313,-10.498,
10.280,-1.527,-10.747,
10.293,,,0.00
10.300,-1.744,-10.917,
10.320,-1.965,-10.956,
10.340,-2.185,-10.825,
10.360,-2.400,-10.485,
10.380,-2.608,-9.961,
10.400,-2.801,-9.242,
10.420,-2.980,-8.312,
10.440,-3.137,-7.186,
10.460,-3.269,-5.904,
10.480,-3.374,-4.516,
10.500,-3.451,-3.050,
10.520,-3.497,-1.518,
10.540,-3.512,0.026,
10.560,-3.495,1.532,
10.580,-3.449,2.985,
10.600,-3.376,4.346,
10.620,-3.274,5.603,
10.640,-3.149,6.715,
10.660,-3.003,7.671,
10.680,-2.840,8.443,
10.700,-2.663,8.993,
10.720,-2.477,9.320,
10.740,-2.287,9.451,
10.760,-2.097,9.412,
10.780,-1.909,9.202,
10.800,-1.726,8.823,
10.820,-1.554,8.312,
10.840,-1.393,7.723,
10.860,-1.244,7.069,
10.880,-1.109,6.362,
10.900,-0.990,5.616,
10.920,-0.884,4.856,
10.940,-0.795,4.084,
10.960,-0.721,3.299,
10.980,-0.663,2.513,
11.000,-0.620,1.728,
11.020,-0.594,0.956,
11.040,-0.583,0.209,
11.060,-0.586,-0.511,
11.080,-0.603,-1.204,
11.100,-0.635,-1.898,
11.120,-0.679,-2.579,
11.140,-0.738,-3.233,
11.160,-0.809,-3.848,
11.180,-0.892,-4.438,
11.200,-0.986,-5.027,
11.220,-1.093,-5.589,
11.240,-1.211,-6.100,
11.260,-1.338,-6.558,
11.274,,,1.00
11.280,-1.473,-6.951,
11.300,-1.618,-7.278,
11.320,-1.766,-7.514,
11.340,-1.920,-7.645,
11.354,,,0.00
11.360,-2.073,-7.658,
11.380,-2.227,-7.527,
11.400,-2.377,-7.265,
11.420,-2.520,-6.846,
11.440,-2.653,-6.257,
11.460,-2.772,-5.524,
11.480,-2.875,-4.673,
11.500,-2.961,-3.731,
11.520,-3.025,-2.697,
11.540,-3.069,-1.597,
11.560,-3.090,-0.484,
11.580,-3.088,0.628,
11.600,-3.065,1.702,
11.620,-3.019,2.723,
11.640,-2.955,3.665,
11.660,-2.871,4.516,
11.680,-2.772,5.249,
11.700,-2.659,5.838,
11.720,-2.537,6.296,
11.740,-2.406,6.624,
11.760,-2.270,6.807,
11.780,-2.132,6.833,
11.800,-1.995,6.728,
11.820,-1.861,6.506,
11.840,-1.733,6.165,
11.860,-1.613,5.720,
11.880,-1.503,5.197,
11.900,-1.404,4.621,
11.920,-1.318,3.979,
11.940,-1.244,3.272,
11.960,-1.186,2.526,
11.980,-1.144,1.767,
12.000,-1.115,1.008,
12.020,-1.103,0.223,
12.040,-1.106,-0.589,
12.060,-1.126,-1.401,
12.080,-1.162,-2.212,
12.100,-1.214,-3.011,
12.120,-1.283,-3.809,
12.140,-1.367,-4.581,
12.160,-1.467,-5.315,
12.180,-1.580,-6.008,
12.200,-1.707,-6.624,
12.220,-1.847,-7.147,
12.240,-1.995,-7.553,
12.260,-2.150,-7.828,
12.280,-2.311,-7.946,
12.300,-2.471,-7.867,
12.320,-2.628,-7.605,
12.337,,,1.00
12.340,-2.777,-7.173,
12.360,-2.917,-6.571,
12.380,-3.043,-5.799,
12.400,-3.151,-4.869,
12.417,,,0.00
12.420,-3.239,-3.796,
12.440,-3.305,-2.605,
12.460,-3.344,-1.348,
12.480,-3.358,-0.065,
12.500,-3.347,1.217,
12.520,-3.310,2.487,
12.540,-3.247,3.718,
12.560,-3.160,4.883,
12.580,-3.050,5.956,
12.600,-2.920,6.912,
12.620,-2.772,7.710,
12.640,-2.609,8.364,
12.660,-2.436,8.862,
12.680,-2.253,9.189,
12.700,-2.066,9.346,
12.720,-1.877,9.359,
12.740,-1.690,9.255,
12.760,-1.505,9.045,
12.780,-1.327,8.770,
12.800,-1.155,8.443,
12.820,-0.988,8.090,
12.840,-0.831,7.710,
12.860,-0.680,7.343,
12.880,-0.537,6.990,
12.900,-0.401,6.624,
12.920,-0.272,6.257,
12.940,-0.151,5.917,
12.960,-0.036,5.603,
12.980,0.074,5.301,
13.000,0.176,5.013,
13.020,0.273,4.739,
13.040,0.366,4.490,
13.060,0.452,4.241,
13.080,0.536,3.992,
13.100,0.613,3.757,
13.120,0.685,3.534,
13.140,0.754,3.338,
13.160,0.818,3.168,
13.180,0.880,3.024,
13.200,0.939,2.893,
13.220,0.996,2.775,
13.240,1.049,2.697,
13.260,1.103,2.683,
13.280,1.156,2.710,
13.300,1.211,2.762,
13.320,1.266,2.854,
13.340,1.324,2.985,
13.360,1.385,3.142,
13.380,1.450,3.325,
13.398,,,1.00
13.400,1.517,3.547,
13.420,1.591,3.809,
13.440,1.670,4.084,
13.460,1.755,4.359,
13.477,,,0.00
13.480,1.844,4.647,
13.500,1.940,4.922,
13.520,2.042,5.171,
13.540,2.147,5.380,
13.560,2.257,5.550,
13.580,2.370,5.668,
13.600,2.485,5.707,
13.620,2.600,5.668,
13.640,2.713,5.537,
13.660,2.823,5.301,
13.680,2.926,4.961,
13.700,3.022,4.516,
13.720,3.109,3.992,
13.740,3.182,3.390,
13.760,3.245,2.710,
13.780,3.292,1.950,
13.800,3.324,1.139,
13.820,3.338,0.314,
13.840,3.336,-0.524,
13.860,3.318,-1.374,
13.880,3.281,-2.212,
13.900,3.228,-3.011,
13.920,3.160,-3.770,
13.940,3.077,-4.503,
13.960,2.980,-5.184,
13.980,2.868,-5.773,
14.000,2.747,-6.283,
14.020,2.617,-6.715,
14.040,2.477,-7.069,
14.060,2.333,-7.330,
14.080,2.183,-7.527,
14.100,2.031,-7.658,
14.120,1.876,-7.710,
14.140,1.722,-7.710,
14.160,1.568,-7.684,
14.180,1.414,-7.658,
14.200,1.261,-7.618,
14.220,1.109,-7.566,
14.240,0.958,-7.527,
14.260,0.809,-7.514,
14.280,0.658,-7.540,
14.300,0.507,-7.592,
14.320,0.355,-7.671,
14.340,0.201,-7.789,
14.360,0.044,-7.946,
14.380,-0.116,-8.155,
14.400,-0.281,-8.417,
14.420,-0.452,-8.718,
14.440,-0.630,-9.032,
14.460,-0.814,-9.359,
14.463,,,1.00
14.480,-1.004,-9.700,
14.500,-1.202,-10.040,
14.520,-1.406,-10.341,
14.540,-1.616,-10.551,
14.542,,,0.00
14.560,-1.830,-10.655,
14.580,-2.044,-10.629,
14.600,-2.257,-10.433,
14.620,-2.465,-10.040,
14.640,-2.661,-9.451,
14.660,-2.845,-8.679,
14.680,-3.011,-7.710,
14.700,-3.156,-6.545,
14.720,-3.275,-5.249,
14.740,-3.366,-3.862,
14.760,-3.431,-2.409,
14.780,-3.464,-0.903,
14.800,-3.467,0.602,
14.820,-3.438,2.042,
14.840,-3.383,3.416,
14.860,-3.302,4.699,
14.880,-3.193,5.877,
14.900,-3.065,6.898,
14.920,-2.915,7.736,
14.940,-2.752,8.378,
14.960,-2.578,8.810,
14.980,-2.397,9.058,
15.000,-2.213,9.124,
15.020,-2.029,9.019,
15.040,-1.850,8.744,
15.060,-1.678,8.325,
15.080,-1.516,7.789,
15.100,-1.365,7.173,
15.120,-1.228,6.493,
15.140,-1.104,5.760,
15.160,-0.997,5.013,
15.180,-0.905,4.254,
15.200,-0.826,3.482,
15.220,-0.765,2.683,
15.240,-0.719,1.885,
15.260,-0.690,1.100,
15.280,-0.675,0.314,
15.300,-0.677,-0.445,
15.320,-0.694,-1.178,
15.340,-0.724,-1.898,
15.360,-0.770,-2.618,
15.380,-0.829,-3.312,
15.400,-0.903,-3.966,
15.420,-0.988,-4.608,
15.440,-1.087,-5.236,
15.460,-1.199,-5.825,
15.480,-1.321,-6.362,
15.500,-1.453,-6.833,
15.520,-1.596,-7.226,
15.528,,,1.00
15.540,-1.744,-7.527,
15.560,-1.898,-7.723,
15.580,-2.055,-7.815,
15.600,-2.212,-7.749,
15.607,,,0.00
15.620,-2.367,-7.527,
15.640,-2.515,-7.147,
15.660,-2.655,-6.610,
15.680,-2.782,-5.930,
15.700,-2.893,-5.092,
15.720,-2.988,-4.136,
15.740,-3.060,-3.089,
15.760,-3.112,-1.977,
15.780,-3.140,-0.825,
15.800,-3.145,0.353,
15.820,-3.126,1.505,
15.840,-3.083,2.605,
15.860,-3.021,3.626,
15.880,-2.937,4.555,
15.900,-2.837,5.380,
15.920,-2.721,6.074,
15.940,-2.592,6.637,
15.960,-2.454,7.042,
15.980,-2.308,7.291,
16.000,-2.160,7.396,
16.020,-2.011,7.370,
16.040,-1.863,7.226,
16.060,-1.720,6.951,
16.080,-1.583,6.571,
16.100,-1.456,6.100,
16.120,-1.338,5.563,
16.140,-1.233,4.974,
16.160,-1.139,4.346,
16.180,-1.059,3.691,
16.200,-0.991,2.998,
16.220,-0.938,2.278,
16.240,-0.900,1.532,
16.260,-0.877,0.772,
16.280,-0.869,0.013,
16.300,-0.877,-0.746,
16.320,-0.898,-1.518,
16.340,-0.936,-2.317,
16.360,-0.991,-3.115,
16.380,-1.062,-3.901,
16.400,-1.147,-4.673,
16.420,-1.249,-5.432,
16.440,-1.365,-6.152,
16.460,-1.495,-6.820,
16.480,-1.638,-7.422,
16.500,-1.794,-7.933,
16.520,-1.957,-8.312,
16.540,-2.128,-8.548,
16.560,-2.301,-8.613,
16.580,-2.476,-8.495,
16.592,,,1.00
