Time (s) Auto,Angle (rad) pi/4 forskydt,Angular Velocity (rad/s) pi/4 forskydt
480.24,-4.549,1.401
480.26,-4.519,1.505
480.28,-4.489,1.623
480.3,-4.455,1.754
480.32,-4.419,1.885
480.34,-4.379,2.003
480.36,-4.339,2.134
480.38,-4.295,2.265
480.4,-4.247,2.395
480.42,-4.199,2.5
480.44,-4.147,2.592
480.46,-4.095,2.67
480.48,-4.04,2.736
480.5,-3.985,2.788
480.52,-3.929,2.814
480.54,-3.872,2.814
480.56,-3.815,2.788
480.58,-3.76,2.749
480.6,-3.706,2.697
480.62,-3.652,2.618
480.64,-3.6,2.5
480.66,-3.552,2.356
480.68,-3.506,2.199
480.7,-3.464,2.029
480.72,-3.424,1.833
480.74,-3.39,1.597
480.76,-3.36,1.335
480.78,-3.336,1.047
480.8,-3.318,0.72
480.82,-3.307,0.367
480.84,-3.303,-0.013
480.86,-3.307,-0.406
480.88,-3.319,-0.838
480.9,-3.34,-1.322
480.92,-3.371,-1.833
480.94,-3.413,-2.369
480.96,-3.465,-2.919
480.98,-3.53,-3.495
481,-3.605,-4.084
481.02,-3.693,-4.673
481.04,-3.792,-5.262
481.06,-3.903,-5.838
481.08,-4.026,-6.375
481.1,-4.159,-6.833
481.12,-4.301,-7.199
481.14,-4.448,-7.461
481.16,-4.601,-7.618
481.18,-4.755,-7.645
481.2,-4.909,-7.501
481.22,-5.058,-7.173
481.24,-5.198,-6.663
481.26,-5.327,-5.995
481.28,-5.44,-5.171
481.3,-5.535,-4.202
481.32,-5.609,-3.115
481.34,-5.661,-1.937
481.36,-5.688,-0.707
481.38,-5.689,0.563
481.4,-5.666,1.82
481.42,-5.616,3.037
481.44,-5.543,4.202
481.46,-5.448,5.301
481.48,-5.33,6.322
481.5,-5.193,7.213
481.52,-5.039,7.959
481.54,-4.873,8.561
481.56,-4.695,9.019
481.58,-4.51,9.346
481.6,-4.32,9.556
481.62,-4.126,9.66
481.64,-3.932,9.687
481.66,-3.738,9.647
481.68,-3.545,9.569
481.7,-3.355,9.477
481.72,-3.167,9.399
481.74,-2.98,9.359
481.76,-2.793,9.372
481.78,-2.606,9.438
481.8,-2.416,9.543
481.82,-2.224,9.7
481.84,-2.029,9.909
481.86,-1.828,10.171
481.88,-1.623,10.459
481.9,-1.411,10.747
481.92,-1.192,11.022
481.94,-0.969,11.257
481.96,-0.741,11.414
481.98,-0.511,11.441
482,-0.281,11.297
482.02,-0.057,10.969
482.04,0.16,10.459
482.06,0.364,9.752
482.08,0.553,8.836
482.1,0.721,7.736
482.12,0.864,6.48
482.14,0.982,5.105
482.16,1.07,3.652
482.18,1.128,2.147
482.2,1.156,0.654
482.22,1.153,-0.785
482.24,1.123,-2.147
482.26,1.067,-3.416
482.28,0.985,-4.595
482.3,0.881,-5.629
482.32,0.757,-6.48
482.34,0.619,-7.147
482.36,0.47,-7.645
482.38,0.311,-7.959
482.4,0.148,-8.063
482.42,-0.014,-7.972
482.44,-0.173,-7.71
482.46,-0.325,-7.291
482.48,-0.467,-6.741
482.5,-0.595,-6.087
482.52,-0.712,-5.354
482.54,-0.811,-4.555
482.56,-0.894,-3.704
482.58,-0.96,-2.827
482.6,-1.007,-1.937
482.62,-1.037,-1.06
482.64,-1.049,-0.196
482.66,-1.045,0.654
482.68,-1.023,1.479
482.7,-0.985,2.278
482.72,-0.931,3.037
482.74,-0.862,3.757
482.76,-0.781,4.424
482.78,-0.685,5.04
482.8,-0.578,5.589
482.82,-0.46,6.034
482.84,-0.335,6.375
482.86,-0.204,6.584
482.88,-0.069,6.663
482.9,0.064,6.597
482.92,0.196,6.375
482.94,0.322,5.982
482.96,0.438,5.419
482.98,0.54,4.725
483,0.628,3.901
483.02,0.699,2.958
483.04,0.748,1.924
483.06,0.776,0.825
483.08,0.782,-0.301
483.1,0.763,-1.44
483.12,0.724,-2.539
483.14,0.661,-3.587
483.16,0.58,-4.568
483.18,0.478,-5.445
483.2,0.36,-6.205
483.22,0.228,-6.82
483.24,0.085,-7.291
483.26,-0.066,-7.592
483.28,-0.221,-7.723
483.3,-0.377,-7.684
483.32,-0.531,-7.501
483.34,-0.679,-7.199
483.36,-0.82,-6.807
483.38,-0.952,-6.322
483.4,-1.074,-5.747
483.42,-1.183,-5.105
483.44,-1.279,-4.424
483.46,-1.36,-3.731
483.48,-1.428,-3.011
483.5,-1.481,-2.278
483.52,-1.519,-1.518
483.54,-1.543,-0.759
483.56,-1.549,0
483.58,-1.543,0.772
483.6,-1.519,1.558
483.62,-1.48,2.369
483.64,-1.425,3.168
483.66,-1.352,3.979
483.68,-1.266,4.791
483.7,-1.161,5.603
483.72,-1.041,6.401
483.74,-0.905,7.16
483.76,-0.754,7.88
483.78,-0.589,8.522
483.8,-0.412,9.058
483.82,-0.225,9.438
483.84,-0.031,9.647
483.86,0.163,9.673
483.88,0.358,9.49
483.9,0.547,9.098
483.92,0.724,8.482
483.94,0.889,7.645
483.96,1.034,6.61
483.98,1.155,5.406
484,1.252,4.084
484.02,1.319,2.644
484.04,1.359,1.126
484.06,1.365,-0.432
484.08,1.341,-2.003
484.1,1.285,-3.547
484.12,1.199,-5.053
484.14,1.082,-6.48
484.16,0.938,-7.802
484.18,0.768,-8.98
484.2,0.576,-9.988
484.22,0.366,-10.799
484.24,0.141,-11.388
484.26,-0.093,-11.755
484.28,-0.331,-11.925
484.3,-0.572,-11.899
484.32,-0.811,-11.702
484.34,-1.041,-11.388
484.36,-1.266,-11.009
484.38,-1.483,-10.603
484.4,-1.69,-10.171
484.42,-1.89,-9.739
484.44,-2.08,-9.333
484.46,-2.262,-8.98
484.48,-2.438,-8.692
484.5,-2.609,-8.456
484.52,-2.776,-8.26
484.54,-2.939,-8.103
484.56,-3.099,-7.985
484.58,-3.258,-7.906
484.6,-3.415,-7.854
484.62,-3.572,-7.802
484.64,-3.728,-7.736
484.66,-3.881,-7.658
484.68,-4.034,-7.54
484.7,-4.185,-7.37
484.72,-4.329,-7.121
484.74,-4.47,-6.807
484.76,-4.602,-6.414
484.78,-4.728,-5.93
484.8,-4.841,-5.367
484.82,-4.943,-4.725
484.84,-5.031,-4.019
484.86,-5.105,-3.246
484.88,-5.162,-2.448
484.9,-5.202,-1.636
484.92,-5.228,-0.812
484.94,-5.235,2.22E-14
484.96,-5.226,0.759
484.98,-5.204,1.453
485,-5.168,2.081
485.02,-5.119,2.644
485.04,-5.061,3.102
485.06,-4.994,3.456
485.08,-4.921,3.704
485.1,-4.844,3.848
485.12,-4.766,3.888
485.14,-4.687,3.822
485.16,-4.612,3.665
485.18,-4.54,3.43
485.2,-4.474,3.115
485.22,-4.414,2.723
485.24,-4.364,2.278
485.26,-4.323,1.806
485.28,-4.291,1.322
485.3,-4.269,0.812
485.32,-4.258,0.288
485.34,-4.258,-0.209
485.36,-4.268,-0.681
485.38,-4.285,-1.113
485.4,-4.313,-1.505
485.42,-4.346,-1.846
485.44,-4.387,-2.134
485.46,-4.433,-2.369
485.48,-4.483,-2.526
485.5,-4.535,-2.605
485.52,-4.588,-2.605
485.54,-4.64,-2.539
485.56,-4.69,-2.409
485.58,-4.738,-2.199
485.6,-4.78,-1.911
485.62,-4.814,-1.571
485.64,-4.843,-1.178
485.66,-4.863,-0.746
485.68,-4.873,-0.262
485.7,-4.874,0.236
485.72,-4.863,0.733
485.74,-4.844,1.244
485.76,-4.814,1.741
485.78,-4.774,2.225
485.8,-4.725,2.67
485.82,-4.667,3.089
485.84,-4.601,3.469
485.86,-4.527,3.783
485.88,-4.448,4.045
485.9,-4.365,4.241
485.92,-4.277,4.385
485.94,-4.189,4.477
485.96,-4.098,4.503
485.98,-4.007,4.477
486,-3.919,4.398
486.02,-3.831,4.28
486.04,-3.746,4.11
486.06,-3.666,3.901
486.08,-3.591,3.665
486.1,-3.519,3.403
486.12,-3.454,3.102
486.14,-3.394,2.775
486.16,-3.343,2.435
486.18,-3.297,2.055
486.2,-3.259,1.649
486.22,-3.231,1.217
486.24,-3.211,0.785
486.26,-3.2,0.34
486.28,-3.197,-0.131
486.3,-3.204,-0.628
486.32,-3.222,-1.152
486.34,-3.25,-1.689
486.36,-3.289,-2.238
486.38,-3.34,-2.788
486.4,-3.401,-3.351
486.42,-3.473,-3.914
486.44,-3.558,-4.464
486.46,-3.652,-5
486.48,-3.757,-5.498
486.5,-3.874,-5.956
486.52,-3.996,-6.349
486.54,-4.128,-6.676
486.56,-4.265,-6.925
486.58,-4.406,-7.055
486.6,-4.549,-7.069
486.62,-4.69,-6.951
486.64,-4.829,-6.702
486.66,-4.961,-6.309
486.68,-5.083,-5.773
486.7,-5.193,-5.092
486.72,-5.289,-4.267
486.74,-5.366,-3.325
486.76,-5.422,-2.304
486.78,-5.459,-1.244
486.8,-5.473,-0.144
486.82,-5.465,0.982
486.84,-5.433,2.094
486.86,-5.38,3.142
486.88,-5.306,4.11
486.9,-5.215,5.013
486.92,-5.105,5.825
486.94,-4.979,6.519
486.96,-4.843,7.082
486.98,-4.695,7.527
487,-4.54,7.854
487.02,-4.379,8.05
487.04,-4.216,8.129
487.06,-4.053,8.116
487.08,-3.891,8.037
487.1,-3.731,7.906
487.12,-3.574,7.736
487.14,-3.421,7.527
487.16,-3.272,7.304
487.18,-3.129,7.082
487.2,-2.989,6.872
487.22,-2.854,6.689
487.24,-2.722,6.519
487.26,-2.593,6.375
487.28,-2.468,6.257
487.3,-2.344,6.152
487.32,-2.221,6.074
487.34,-2.102,6.021
487.36,-1.981,5.995
487.38,-1.861,5.982
487.4,-1.742,5.995
487.42,-1.623,6.048
487.44,-1.5,6.113
487.46,-1.378,6.192
487.48,-1.253,6.283
487.5,-1.126,6.401
487.52,-0.997,6.519
487.54,-0.866,6.637
487.56,-0.732,6.754
487.58,-0.595,6.859
487.6,-0.457,6.938
487.62,-0.317,6.964
487.64,-0.178,6.925
487.66,-0.039,6.82
487.68,0.096,6.65
487.7,0.228,6.401
487.72,0.353,6.061
487.74,0.471,5.629
487.76,0.58,5.118
487.78,0.677,4.529
487.8,0.762,3.875
487.82,0.833,3.181
487.84,0.889,2.461
487.86,0.931,1.702
487.88,0.958,0.929
487.9,0.968,0.17
487.92,0.964,-0.55
487.94,0.946,-1.23
487.96,0.914,-1.885
487.98,0.87,-2.487
488,0.814,-3.037
488.02,0.748,-3.521
488.04,0.672,-3.94
488.06,0.589,-4.294
488.08,0.5,-4.555
488.1,0.405,-4.725
488.12,0.309,-4.817
488.14,0.212,-4.843
488.16,0.115,-4.804
488.18,0.019,-4.699
488.2,-0.074,-4.542
488.22,-0.163,-4.346
488.24,-0.248,-4.11
488.26,-0.328,-3.848
488.28,-0.402,-3.574
488.3,-0.471,-3.286
488.32,-0.534,-2.998
488.34,-0.591,-2.71
488.36,-0.642,-2.435
488.38,-0.688,-2.186
488.4,-0.729,-1.963
488.42,-0.767,-1.754
488.44,-0.8,-1.545
488.46,-0.828,-1.348
488.48,-0.853,-1.191
488.5,-0.875,-1.047
488.52,-0.895,-0.89
488.54,-0.911,-0.707
488.56,-0.924,-0.511
488.58,-0.931,-0.327
488.6,-0.936,-0.131
488.62,-0.938,0.092
488.64,-0.933,0.353
488.66,-0.924,0.641
488.68,-0.908,0.956
488.7,-0.886,1.296
488.72,-0.856,1.662
488.74,-0.82,2.055
488.76,-0.774,2.474
488.78,-0.721,2.906
488.8,-0.658,3.351
488.82,-0.587,3.796
488.84,-0.506,4.241
488.86,-0.418,4.66
488.88,-0.319,5.04
488.9,-0.215,5.38
488.92,-0.104,5.655
488.94,0.013,5.864
488.96,0.132,5.969
488.98,0.253,5.982
489,0.372,5.904
489.02,0.49,5.707
489.04,0.603,5.393
489.06,0.707,4.961
489.08,0.803,4.424
489.1,0.886,3.783
489.12,0.955,3.05
489.14,1.008,2.251
489.16,1.046,1.414
489.18,1.065,0.537
489.2,1.068,-0.367
489.22,1.051,-1.27
489.24,1.016,-2.16
489.26,0.964,-3.011
489.28,0.895,-3.835
489.3,0.811,-4.621
489.32,0.71,-5.341
489.34,0.595,-5.982
489.36,0.47,-6.532
489.38,0.333,-6.99
489.4,0.188,-7.343
489.42,0.038,-7.592
489.44,-0.116,-7.736
489.46,-0.273,-7.789
489.48,-0.429,-7.762
489.5,-0.584,-7.671
489.52,-0.737,-7.527
489.54,-0.886,-7.33
489.56,-1.03,-7.095
489.58,-1.17,-6.833
489.6,-1.304,-6.571
489.62,-1.433,-6.309
489.64,-1.557,-6.048
489.66,-1.674,-5.786
489.68,-1.788,-5.537
489.7,-1.896,-5.301
489.72,-2,-5.079
489.74,-2.099,-4.869
489.76,-2.194,-4.66
489.78,-2.286,-4.451
489.8,-2.372,-4.254
489.82,-2.455,-4.071
489.84,-2.535,-3.888
489.86,-2.611,-3.704
489.88,-2.683,-3.534
489.9,-2.752,-3.364
489.92,-2.818,-3.181
489.94,-2.879,-2.985
489.96,-2.937,-2.788
489.98,-2.991,-2.605
490,-3.041,-2.422
490.02,-3.088,-2.238
490.04,-3.131,-2.055
490.06,-3.17,-1.885
490.08,-3.206,-1.715
490.1,-3.239,-1.545
490.12,-3.267,-1.388
490.14,-3.294,-1.244
490.16,-3.318,-1.113
490.18,-3.338,-0.995
490.2,-3.357,-0.903
490.22,-3.374,-0.825
490.24,-3.39,-0.759
490.26,-3.404,-0.72
490.28,-3.418,-0.72
490.3,-3.432,-0.746
490.32,-3.448,-0.785
490.34,-3.464,-0.851
490.36,-3.481,-0.956
490.38,-3.501,-1.1
490.4,-3.525,-1.283
490.42,-3.552,-1.492
490.44,-3.585,-1.741
490.46,-3.621,-2.029
490.48,-3.665,-2.369
490.5,-3.715,-2.762
490.52,-3.775,-3.168
490.54,-3.842,-3.6
490.56,-3.918,-4.045
490.58,-4.004,-4.516
490.6,-4.098,-5
490.62,-4.203,-5.472
490.64,-4.318,-5.917
490.66,-4.441,-6.296
490.68,-4.571,-6.597
490.7,-4.706,-6.807
490.72,-4.844,-6.898
490.74,-4.984,-6.859
490.76,-5.121,-6.676
490.78,-5.253,-6.336
490.8,-5.377,-5.838
490.82,-5.488,-5.171
490.84,-5.586,-4.359
490.86,-5.664,-3.43
490.88,-5.724,-2.409
490.9,-5.762,-1.309
490.92,-5.777,-0.144
490.94,-5.768,1.047
490.96,-5.735,2.238
490.98,-5.678,3.403
491,-5.598,4.529
491.02,-5.496,5.576
491.04,-5.374,6.519
491.06,-5.234,7.343
491.08,-5.078,8.05
491.1,-4.91,8.639
491.12,-4.731,9.098
491.14,-4.544,9.425
491.16,-4.353,9.634
491.18,-4.158,9.765
491.2,-3.962,9.831
491.22,-3.764,9.844
491.24,-3.567,9.817
491.26,-3.371,9.791
491.28,-3.176,9.817
491.3,-2.98,9.896
491.32,-2.78,10.04
491.34,-2.579,10.236
491.36,-2.372,10.511
491.38,-2.16,10.878
491.4,-1.938,11.31
491.42,-1.707,11.794
491.44,-1.467,12.291
491.46,-1.216,12.776
491.48,-0.955,13.221
491.5,-0.686,13.574
491.52,-0.41,13.784
491.54,-0.132,13.784
491.56,0.145,13.522
491.58,0.413,12.972
491.6,0.668,12.121
491.62,0.902,10.982
491.64,1.111,9.582
491.66,1.288,7.972
491.68,1.431,6.218
491.7,1.538,4.346
491.72,1.607,2.395
491.74,1.634,0.406
491.76,1.623,-1.571
491.78,1.571,-3.482
491.8,1.481,-5.315
491.82,1.357,-7.029
491.84,1.199,-8.6
491.86,1.01,-9.961
491.88,0.796,-11.074
491.9,0.564,-11.925
491.92,0.316,-12.501
491.94,0.06,-12.789
491.96,-0.199,-12.802
491.98,-0.456,-12.579
492,-0.705,-12.148
492.02,-0.944,-11.558
492.04,-1.169,-10.865
492.06,-1.379,-10.119
492.08,-1.574,-9.359
492.1,-1.753,-8.626
492.12,-1.918,-7.919
492.14,-2.07,-7.239
492.16,-2.207,-6.584
492.18,-2.333,-5.982
492.2,-2.446,-5.445
492.22,-2.549,-4.948
492.24,-2.644,-4.49
492.26,-2.728,-4.058
492.28,-2.805,-3.665
492.3,-2.875,-3.325
492.32,-2.937,-3.024
492.34,-2.996,-2.749
492.36,-3.047,-2.5
492.38,-3.094,-2.291
492.4,-3.138,-2.134
492.42,-3.179,-2.016
492.44,-3.219,-1.924
492.46,-3.256,-1.872
492.48,-3.292,-1.859
492.5,-3.33,-1.885
492.52,-3.368,-1.963
492.54,-3.407,-2.081
492.56,-3.451,-2.251
492.58,-3.497,-2.461
492.6,-3.548,-2.71
492.62,-3.605,-3.011
492.64,-3.668,-3.338
492.66,-3.738,-3.704
492.68,-3.815,-4.11
492.7,-3.902,-4.555
492.72,-3.998,-5.013
492.74,-4.103,-5.459
492.76,-4.216,-5.89
492.78,-4.339,-6.296
492.8,-4.469,-6.663
492.82,-4.606,-6.951
492.84,-4.749,-7.134
492.86,-4.893,-7.186
492.88,-5.038,-7.108
492.9,-5.179,-6.885
492.92,-5.316,-6.506
492.94,-5.441,-5.956
492.96,-5.556,-5.249
492.98,-5.653,-4.411
493,-5.733,-3.443
493.02,-5.793,-2.369
493.04,-5.829,-1.217
493.06,-5.842,-0.013
493.08,-5.831,1.204
493.1,-5.793,2.422
493.12,-5.733,3.613
493.14,-5.649,4.752
493.16,-5.542,5.825
493.18,-5.415,6.794
493.2,-5.268,7.645
493.22,-5.107,8.364
493.24,-4.932,8.954
493.26,-4.747,9.425
493.28,-4.554,9.765
493.3,-4.354,9.975
493.32,-4.153,10.079
493.34,-3.951,10.119
493.36,-3.748,10.132
493.38,-3.545,10.132
493.4,-3.343,10.145
493.42,-3.14,10.197
493.44,-2.936,10.289
493.46,-2.728,10.446
493.48,-2.52,10.681
493.5,-2.303,11.009
493.52,-2.08,11.414
493.54,-1.847,11.873
493.56,-1.605,12.396
493.58,-1.352,12.946
493.6,-1.087,13.47
493.62,-0.812,13.902
493.64,-0.529,14.203
493.66,-0.242,14.334
493.68,0.047,14.229
493.7,0.331,13.836
493.72,0.605,13.129
493.74,0.861,12.108
493.76,1.093,10.799
493.78,1.296,9.242
493.8,1.466,7.487
493.82,1.598,5.603
493.84,1.69,3.626
493.86,1.744,1.597
493.88,1.755,-0.471
493.9,1.725,-2.513
493.92,1.652,-4.49
493.94,1.544,-6.375
493.96,1.396,-8.142
493.98,1.216,-9.752
494,1.004,-11.14
494.02,0.767,-12.265
494.04,0.509,-13.09
494.06,0.239,-13.614
494.08,-0.039,-13.836
494.1,-0.319,-13.784
494.12,-0.594,-13.496
494.14,-0.861,-13.025
494.16,-1.117,-12.409
494.18,-1.359,-11.716
494.2,-1.585,-10.996
494.22,-1.799,-10.302
494.24,-1.996,-9.647
494.26,-2.183,-9.045
494.28,-2.358,-8.508
494.3,-2.523,-8.011
494.32,-2.678,-7.579
494.34,-2.824,-7.213
494.36,-2.966,-6.898
494.38,-3.101,-6.637
494.4,-3.23,-6.414
494.42,-3.357,-6.231
494.44,-3.479,-6.074
494.46,-3.599,-5.93
494.48,-3.717,-5.812
494.5,-3.831,-5.707
494.52,-3.944,-5.603
494.54,-4.056,-5.498
494.56,-4.164,-5.367
494.58,-4.271,-5.223
494.6,-4.373,-5.066
494.62,-4.474,-4.883
494.64,-4.569,-4.673
494.66,-4.661,-4.424
494.68,-4.747,-4.163
494.7,-4.827,-3.875
494.72,-4.902,-3.547
494.74,-4.97,-3.194
494.76,-5.03,-2.827
494.78,-5.083,-2.474
494.8,-5.129,-2.121
494.82,-5.168,-1.754
494.84,-5.199,-1.388
494.86,-5.223,-1.034
494.88,-5.24,-0.707
494.9,-5.251,-0.406
494.92,-5.256,-0.118
494.94,-5.256,0.157
494.96,-5.25,0.419
494.98,-5.239,0.654
495,-5.223,0.864
495.02,-5.204,1.073
495.04,-5.18,1.296
495.06,-5.152,1.518
495.08,-5.119,1.715
495.1,-5.083,1.911
495.12,-5.044,2.107
495.14,-4.998,2.317
495.16,-4.951,2.513
495.18,-4.898,2.697
495.2,-4.843,2.88
495.22,-4.783,3.05
495.24,-4.72,3.207
495.26,-4.654,3.338
495.28,-4.587,3.469
495.3,-4.516,3.587
495.32,-4.442,3.691
495.34,-4.368,3.783
495.36,-4.291,3.862
495.38,-4.213,3.914
495.4,-4.134,3.94
495.42,-4.056,3.966
495.44,-3.976,3.992
495.46,-3.896,4.006
495.48,-3.815,4.006
495.5,-3.735,4.006
495.52,-3.655,3.992
495.54,-3.575,3.979
495.56,-3.497,3.966
495.58,-3.416,3.953
495.6,-3.338,3.953
495.62,-3.259,3.953
495.64,-3.179,3.966
495.66,-3.101,3.966
495.68,-3.021,3.966
495.7,-2.942,3.979
495.72,-2.862,4.006
495.74,-2.782,4.032
495.76,-2.7,4.045
495.78,-2.62,4.058
495.8,-2.538,4.084
495.82,-2.457,4.123
495.84,-2.373,4.15
495.86,-2.29,4.163
495.88,-2.207,4.176
495.9,-2.124,4.202
495.92,-2.039,4.228
495.94,-1.954,4.254
495.96,-1.869,4.294
495.98,-1.783,4.359
496,-1.695,4.424
496.02,-1.605,4.49
496.04,-1.516,4.568
496.06,-1.423,4.66
496.08,-1.329,4.765
496.1,-1.233,4.896
496.12,-1.134,5.053
496.14,-1.03,5.223
496.16,-0.925,5.393
496.18,-0.815,5.576
496.2,-0.702,5.773
496.22,-0.584,5.943
496.24,-0.463,6.087
496.26,-0.341,6.205
496.28,-0.215,6.296
496.3,-0.088,6.322
496.32,0.039,6.27
496.34,0.163,6.139
496.36,0.286,5.93
496.38,0.402,5.642
496.4,0.512,5.262
496.42,0.614,4.817
496.44,0.705,4.294
496.46,0.787,3.691
496.48,0.855,3.037
496.5,0.908,2.343
496.52,0.949,1.623
496.54,0.974,0.877
496.56,0.983,0.131
496.58,0.979,-0.576
496.6,0.96,-1.257
496.62,0.928,-1.924
496.64,0.883,-2.553
496.66,0.825,-3.129
496.68,0.757,-3.652
496.7,0.679,-4.123
496.72,0.591,-4.529
496.74,0.496,-4.843
496.76,0.396,-5.079
496.78,0.292,-5.249
496.8,0.185,-5.341
496.82,0.077,-5.354
496.84,-0.03,-5.301
496.86,-0.135,-5.21
496.88,-0.239,-5.079
496.9,-0.339,-4.896
496.92,-0.435,-4.66
496.94,-0.526,-4.411
496.96,-0.611,-4.163
496.98,-0.693,-3.901
497,-0.768,-3.639
497.02,-0.837,-3.39
497.04,-0.903,-3.155
497.06,-0.964,-2.919
497.08,-1.019,-2.683
497.1,-1.071,-2.461
497.12,-1.118,-2.238
497.14,-1.161,-2.003
497.16,-1.199,-1.767
497.18,-1.232,-1.518
497.2,-1.26,-1.244
497.22,-1.282,-0.942
497.24,-1.297,-0.615
497.26,-1.307,-0.275
497.28,-1.308,0.092
497.3,-1.304,0.484
497.32,-1.29,0.916
497.34,-1.268,1.388
497.36,-1.235,1.885
497.38,-1.192,2.409
497.4,-1.139,2.958
497.42,-1.074,3.547
497.44,-0.997,4.15
497.46,-0.908,4.765
497.48,-0.807,5.393
497.5,-0.693,6.008
497.52,-0.565,6.584
497.54,-0.429,7.095
497.56,-0.281,7.54
497.58,-0.126,7.893
497.6,0.036,8.116
497.62,0.201,8.207
497.64,0.366,8.142
497.66,0.529,7.919
497.68,0.685,7.54
497.7,0.833,6.99
497.72,0.968,6.283
497.74,1.085,5.432
497.76,1.186,4.477
497.78,1.266,3.416
497.8,1.324,2.265
497.82,1.357,1.073
497.84,1.367,-0.144
497.86,1.352,-1.374
497.88,1.312,-2.605
497.9,1.247,-3.796
497.92,1.159,-4.948
497.94,1.049,-6.048
497.96,0.916,-7.055
497.98,0.765,-7.946
498,0.597,-8.705
498.02,0.415,-9.333
498.04,0.221,-9.804
498.06,0.02,-10.119
498.08,-0.185,-10.276
498.1,-0.393,-10.302
498.12,-0.598,-10.21
498.14,-0.803,-10.04
498.16,-1.001,-9.817
498.18,-1.195,-9.569
498.2,-1.384,-9.32
498.22,-1.568,-9.058
498.24,-1.747,-8.823
498.26,-1.92,-8.626
498.28,-2.091,-8.482
498.3,-2.259,-8.391
498.32,-2.425,-8.351
498.34,-2.592,-8.364
498.36,-2.76,-8.417
498.38,-2.928,-8.508
498.4,-3.099,-8.652
498.42,-3.274,-8.823
498.44,-3.453,-8.993
498.46,-3.633,-9.15
498.48,-3.819,-9.281
498.5,-4.006,-9.359
498.52,-4.194,-9.346
498.54,-4.381,-9.242
498.56,-4.565,-9.019
498.58,-4.744,-8.652
498.6,-4.913,-8.129
498.62,-5.071,-7.435
498.64,-5.213,-6.584
498.66,-5.336,-5.589
498.68,-5.438,-4.49
498.7,-5.517,-3.299
498.72,-5.572,-2.029
498.74,-5.598,-0.733
498.76,-5.6,0.563
498.78,-5.576,1.82
498.8,-5.526,3.037
498.82,-5.454,4.163
498.84,-5.358,5.171
498.86,-5.245,6.048
498.88,-5.115,6.781
498.9,-4.972,7.383
498.92,-4.818,7.828
498.94,-4.656,8.103
498.96,-4.491,8.207
498.98,-4.326,8.181
499,-4.163,8.05
499.02,-4.002,7.828
499.04,-3.848,7.514
499.06,-3.701,7.134
499.08,-3.563,6.715
499.1,-3.432,6.27
499.12,-3.311,5.799
499.14,-3.2,5.315
499.16,-3.099,4.843
499.18,-3.007,4.385
499.2,-2.923,3.927
499.22,-2.849,3.456
499.24,-2.785,3.011
499.26,-2.73,2.605
499.28,-2.681,2.225
499.3,-2.641,1.859
499.32,-2.608,1.518
499.34,-2.581,1.217
499.36,-2.559,0.956
499.38,-2.543,0.733
499.4,-2.531,0.563
499.42,-2.521,0.445
499.44,-2.513,0.367
499.46,-2.507,0.327
499.48,-2.501,0.327
499.5,-2.494,0.367
499.52,-2.487,0.458
499.54,-2.477,0.589
499.56,-2.463,0.759
499.58,-2.447,0.956
499.6,-2.425,1.191
499.62,-2.4,1.479
499.64,-2.367,1.806
499.66,-2.328,2.173
499.68,-2.281,2.566
499.7,-2.226,3.011
499.72,-2.161,3.508
499.74,-2.086,4.045
499.76,-2,4.621
499.78,-1.902,5.249
499.8,-1.791,5.917
499.82,-1.665,6.61
499.84,-1.527,7.33
499.86,-1.373,8.077
499.88,-1.203,8.836
499.9,-1.019,9.556
499.92,-0.82,10.223
499.94,-0.609,10.812
499.96,-0.386,11.284
499.98,-0.156,11.585
500,0.08,11.663
500.02,0.314,11.506
500.04,0.543,11.087
500.06,0.762,10.407
500.08,0.963,9.464
500.1,1.144,8.299
500.12,1.297,6.951
500.14,1.423,5.459
500.16,1.517,3.835
500.18,1.579,2.107
500.2,1.602,0.327
500.22,1.591,-1.466
500.24,1.544,-3.246
500.26,1.461,-5
500.28,1.343,-6.689
500.3,1.192,-8.273
500.32,1.01,-9.713
500.34,0.801,-10.969
500.36,0.569,-12.004
500.38,0.317,-12.776
500.4,0.053,-13.286
500.42,-0.217,-13.548
500.44,-0.492,-13.574
500.46,-0.763,-13.404
500.48,-1.029,-13.077
500.5,-1.288,-12.671
500.52,-1.536,-12.226
500.54,-1.777,-11.794
500.56,-2.007,-11.401
500.58,-2.232,-11.048
500.6,-2.449,-10.747
500.62,-2.661,-10.524
500.64,-2.868,-10.393
500.66,-3.076,-10.315
500.68,-3.281,-10.276
500.7,-3.486,-10.249
500.72,-3.691,-10.236
500.74,-3.896,-10.197
500.76,-4.1,-10.105
500.78,-4.301,-9.935
500.8,-4.499,-9.647
500.82,-4.689,-9.228
500.84,-4.869,-8.652
500.86,-5.038,-7.933
500.88,-5.188,-7.069
500.9,-5.322,-6.074
500.92,-5.433,-4.961
500.94,-5.521,-3.757
500.96,-5.584,-2.487
500.98,-5.622,-1.191
501,-5.631,0.105
501.02,-5.617,1.361
501.04,-5.576,2.553
501.06,-5.513,3.652
501.08,-5.429,4.634
501.1,-5.327,5.498
501.12,-5.207,6.218
501.14,-5.075,6.781
501.16,-4.934,7.16
501.18,-4.786,7.383
501.2,-4.637,7.461
501.22,-4.486,7.396
501.24,-4.339,7.199
501.26,-4.197,6.872
501.28,-4.062,6.453
