Time (s) Auto,Angle (rad) 3pi/4 forkudt,Angular Velocity (rad/s) 3pi/4 forkudt
1453.96,1.712,-4.398
1453.98,1.605,-6.218
1454,1.462,-7.959
1454.02,1.285,-9.569
1454.04,1.078,-11.035
1454.06,0.842,-12.318
1454.08,0.581,-13.365
1454.1,0.303,-14.072
1454.12,0.013,-14.386
1454.14,-0.278,-14.281
1454.16,-0.564,-13.522
1454.18,-0.834,-12.449
1454.2,-1.054,-11.572
1454.22,-1.282,-11.009
1454.24,-1.505,-10.446
1454.26,-1.704,-9.53
1454.28,-1.885,-8.561
1454.3,-2.045,-7.618
1454.32,-2.191,-6.48
1454.34,-2.312,-5.157
1454.36,-2.395,-3.914
1454.38,-2.46,-2.893
1454.4,-2.513,-1.937
1454.42,-2.542,-0.89
1454.44,-2.546,0.183
1454.46,-2.534,1.204
1454.48,-2.499,2.238
1454.5,-2.444,3.299
1454.52,-2.367,4.359
1454.54,-2.27,5.432
1454.56,-2.15,6.545
1454.58,-2.009,7.671
1454.6,-1.843,8.77
1454.62,-1.657,9.817
1454.64,-1.45,10.747
1454.66,-1.224,11.519
1454.68,-0.986,12.121
1454.7,-0.738,12.723
1454.72,-0.481,13.326
1454.74,-0.203,13.391
1454.76,0.077,13.155
1454.78,0.311,12.894
1454.8,0.584,12.632
1454.82,0.837,12.043
1454.84,1.067,10.865
1454.86,1.274,9.543
1454.88,1.451,8.063
1454.9,1.598,6.453
1454.92,1.711,4.712
1454.94,1.789,2.841
1454.96,1.825,0.89
1454.98,1.824,-1.034
1455,1.783,-2.893
1455.02,1.707,-4.739
1455.04,1.594,-6.558
1455.06,1.444,-8.312
1455.08,1.26,-9.922
1455.1,1.045,-11.388
1455.12,0.803,-12.684
1455.14,0.534,-13.744
1455.16,0.248,-14.438
1455.18,-0.05,-14.713
1455.2,-0.346,-14.582
1455.22,-0.638,-14.046
1455.24,-0.914,-13.051
1455.26,-1.167,-12.03
1455.28,-1.382,-11.218
1455.3,-1.613,-10.537
1455.32,-1.814,-9.857
1455.34,-2,-9.071
1455.36,-2.179,-8.221
1455.38,-2.337,-7.055
1455.4,-2.463,-5.812
1455.42,-2.562,-4.778
1455.44,-2.652,-3.901
1455.46,-2.722,-3.011
1455.48,-2.771,-2.068
1455.5,-2.804,-1.152
1455.52,-2.818,-0.236
1455.54,-2.813,0.694
1455.56,-2.79,1.61
1455.58,-2.749,2.526
1455.6,-2.689,3.456
1455.62,-2.611,4.411
1455.64,-2.513,5.393
1455.66,-2.395,6.401
1455.68,-2.257,7.435
1455.7,-2.099,8.482
1455.72,-1.918,9.53
1455.74,-1.717,10.551
1455.76,-1.495,11.414
1455.78,-1.255,12.069
1455.8,-1.01,12.396
1455.82,-0.754,12.828
1455.84,-0.509,13.561
1455.86,-0.217,14.059
1455.88,0.08,14.124
1455.9,0.344,13.653
1455.92,0.625,13.051
1455.94,0.877,12.213
1455.96,1.114,10.982
1455.98,1.321,9.595
1456,1.499,8.024
1456.02,1.643,6.322
1456.04,1.755,4.464
1456.06,1.824,2.5
1456.08,1.854,0.524
1456.1,1.844,-1.401
1456.12,1.797,-3.286
1456.14,1.712,-5.131
1456.16,1.591,-6.938
1456.18,1.434,-8.666
1456.2,1.243,-10.263
1456.22,1.021,-11.689
1456.24,0.773,-12.92
1456.26,0.501,-13.902
1456.28,0.212,-14.491
1456.3,-0.086,-14.674
1456.32,-0.379,-14.36
1456.34,-0.669,-13.456
1456.36,-0.928,-12.501
1456.38,-1.151,-11.729
1456.4,-1.396,-11.14
1456.42,-1.608,-10.407
1456.44,-1.808,-9.464
1456.46,-1.989,-8.626
1456.48,-2.152,-7.645
1456.5,-2.3,-6.427
1456.52,-2.414,-5.144
1456.54,-2.498,-4.019
1456.56,-2.571,-3.063
1456.58,-2.625,-2.107
1456.6,-2.655,-1.113
1456.62,-2.667,-0.144
1456.64,-2.663,0.825
1456.66,-2.634,1.833
1456.68,-2.589,2.841
1456.7,-2.521,3.835
1456.72,-2.435,4.869
1456.74,-2.328,5.93
1456.76,-2.198,7.016
1456.78,-2.047,8.09
1456.8,-1.874,9.137
1456.82,-1.681,10.145
1456.84,-1.467,11.009
1456.86,-1.236,11.729
1456.88,-0.997,12.291
1456.9,-0.743,12.828
1456.92,-0.485,13.43
1456.94,-0.209,13.6
1456.96,0.08,13.47
1456.98,0.324,13.142
1457,0.598,12.697
1457.02,0.85,11.99
1457.04,1.078,10.786
1457.06,1.283,9.464
1457.08,1.459,7.959
1457.1,1.604,6.283
1457.12,1.712,4.477
1457.14,1.784,2.566
1457.16,1.816,0.615
1457.18,1.808,-1.309
1457.2,1.762,-3.181
1457.22,1.681,-5.027
1457.24,1.561,-6.82
1457.26,1.406,-8.535
1457.28,1.219,-10.119
1457.3,0.999,-11.558
1457.32,0.754,-12.802
1457.34,0.484,-13.784
1457.36,0.198,-14.373
1457.38,-0.099,-14.53
1457.4,-0.388,-14.216
1457.42,-0.674,-13.443
1457.44,-0.933,-12.501
1457.46,-1.167,-11.637
1457.48,-1.395,-10.93
1457.5,-1.608,-10.197
1457.52,-1.803,-9.386
1457.54,-1.982,-8.587
1457.56,-2.147,-7.618
1457.58,-2.295,-6.375
1457.6,-2.405,-5.105
1457.62,-2.49,-4.032
1457.64,-2.565,-3.115
1457.66,-2.619,-2.147
1457.68,-2.65,-1.126
1457.7,-2.663,-0.144
1457.72,-2.656,0.838
1457.74,-2.63,1.833
1457.76,-2.582,2.827
1457.78,-2.516,3.835
1457.8,-2.43,4.883
1457.82,-2.322,5.956
1457.84,-2.191,7.042
1457.86,-2.04,8.116
1457.88,-1.866,9.176
1457.9,-1.673,10.21
1457.92,-1.458,11.1
1457.94,-1.224,11.86
1457.96,-0.983,12.435
1457.98,-0.724,12.998
1458,-0.465,13.574
1458.02,-0.182,13.679
1458.04,0.104,13.509
1458.06,0.349,13.155
1458.08,0.625,12.723
1458.1,0.875,12.004
1458.12,1.104,10.799
1458.14,1.31,9.464
1458.16,1.486,7.959
1458.18,1.629,6.309
1458.2,1.74,4.516
1458.22,1.813,2.592
1458.24,1.844,0.628
1458.26,1.836,-1.283
1458.28,1.792,-3.155
1458.3,1.711,-5.013
1458.32,1.591,-6.833
1458.34,1.436,-8.561
1458.36,1.247,-10.158
1458.38,1.027,-11.611
1458.4,0.781,-12.867
1458.42,0.509,-13.875
1458.44,0.221,-14.491
1458.46,-0.079,-14.687
1458.48,-0.371,-14.491
1458.5,-0.661,-13.836
1458.52,-0.935,-12.907
1458.54,-1.175,-11.99
1458.56,-1.406,-11.166
1458.58,-1.629,-10.367
1458.6,-1.821,-9.556
1458.62,-2.004,-8.81
1458.64,-2.177,-7.959
1458.66,-2.329,-6.741
1458.68,-2.45,-5.459
1458.7,-2.54,-4.385
1458.72,-2.622,-3.482
1458.74,-2.684,-2.579
1458.76,-2.724,-1.61
1458.78,-2.747,-0.668
1458.8,-2.752,0.275
1458.82,-2.736,1.244
1458.84,-2.702,2.199
1458.86,-2.648,3.155
1458.88,-2.576,4.136
1458.9,-2.483,5.131
1458.92,-2.37,6.152
1458.94,-2.238,7.199
1458.96,-2.083,8.26
1458.98,-1.907,9.307
1459,-1.711,10.315
1459.02,-1.494,11.205
1459.04,-1.258,11.873
1459.06,-1.015,12.239
1459.08,-0.765,12.645
1459.1,-0.518,13.339
1459.12,-0.237,13.823
1459.14,0.058,13.902
1459.16,0.317,13.522
1459.18,0.595,12.972
1459.2,0.848,12.187
1459.22,1.084,10.969
1459.24,1.291,9.569
1459.26,1.469,7.998
1459.28,1.612,6.322
1459.3,1.723,4.503
1459.32,1.795,2.566
1459.34,1.825,0.589
1459.36,1.817,-1.335
1459.38,1.772,-3.207
1459.4,1.689,-5.053
1459.42,1.569,-6.846
1459.44,1.414,-8.561
1459.46,1.225,-10.145
1459.48,1.005,-11.572
1459.5,0.76,-12.789
1459.52,0.49,-13.744
1459.54,0.206,-14.32
1459.56,-0.09,-14.504
1459.58,-0.379,-14.281
1459.6,-0.666,-13.417
1459.62,-0.931,-12.344
1459.64,-1.147,-11.454
1459.66,-1.379,-10.891
1459.68,-1.593,-10.289
1459.7,-1.792,-9.372
1459.72,-1.968,-8.469
1459.74,-2.128,-7.487
1459.76,-2.273,-6.296
1459.78,-2.386,-5
1459.8,-2.466,-3.848
1459.82,-2.535,-2.88
1459.84,-2.586,-1.924
1459.86,-2.612,-0.903
1459.88,-2.62,0.092
1459.9,-2.609,1.073
1459.92,-2.578,2.094
1459.94,-2.526,3.129
1459.96,-2.452,4.163
1459.98,-2.359,5.223
1460,-2.245,6.309
1460.02,-2.106,7.422
1460.04,-1.948,8.508
1460.06,-1.766,9.556
1460.08,-1.565,10.537
1460.1,-1.343,11.428
1460.12,-1.106,12.056
1460.14,-0.853,12.658
1460.16,-0.608,13.234
1460.18,-0.322,13.574
1460.2,-0.049,13.483
1460.22,0.217,13.116
1460.24,0.471,12.815
1460.26,0.732,12.318
1460.28,0.974,11.428
1460.3,1.192,10.158
1460.32,1.382,8.718
1460.34,1.543,7.147
1460.36,1.67,5.432
1460.38,1.762,3.574
1460.4,1.814,1.636
1460.42,1.827,-0.301
1460.44,1.802,-2.199
1460.46,1.739,-4.071
1460.48,1.638,-5.904
1460.5,1.502,-7.671
1460.52,1.33,-9.333
1460.54,1.126,-10.865
1460.56,0.894,-12.213
1460.58,0.635,-13.339
1460.6,0.357,-14.163
1460.62,0.063,-14.582
1460.64,-0.234,-14.595
1460.66,-0.525,-14.137
1460.68,-0.807,-13.195
1460.7,-1.06,-12.213
1460.72,-1.282,-11.349
1460.74,-1.516,-10.655
1460.76,-1.714,-9.948
1460.78,-1.907,-9.189
1460.8,-2.084,-8.391
1460.82,-2.248,-7.239
1460.84,-2.38,-5.956
1460.86,-2.48,-4.804
1460.88,-2.567,-3.848
1460.9,-2.637,-2.932
1460.92,-2.684,-1.963
1460.94,-2.714,-1.008
1460.96,-2.725,-0.052
1460.98,-2.717,0.929
1461,-2.688,1.911
1461.02,-2.641,2.88
1461.04,-2.573,3.848
1461.06,-2.487,4.843
1461.08,-2.38,5.864
1461.1,-2.253,6.925
1461.12,-2.103,8.011
1461.14,-1.932,9.084
1461.16,-1.739,10.092
1461.18,-1.527,11.009
1461.2,-1.297,11.794
1461.22,-1.052,12.213
1461.24,-0.798,12.619
1461.26,-0.561,13.273
1461.28,-0.275,13.705
1461.3,0.017,13.771
1461.32,0.269,13.43
1461.34,0.548,13.051
1461.36,0.806,12.409
1461.38,1.046,11.231
1461.4,1.26,9.87
1461.42,1.442,8.325
1461.44,1.594,6.676
1461.46,1.711,4.883
1461.48,1.792,2.958
1461.5,1.83,0.995
1461.52,1.83,-0.942
1461.54,1.792,-2.827
1461.56,1.717,-4.699
1461.58,1.604,-6.519
1461.6,1.455,-8.26
1461.62,1.272,-9.87
1461.64,1.057,-11.336
1461.66,0.817,-12.606
1461.68,0.55,-13.627
1461.7,0.267,-14.294
1461.72,-0.028,-14.556
1461.74,-0.32,-14.412
1461.76,-0.609,-13.81
1461.78,-0.881,-12.737
1461.8,-1.125,-11.676
1461.82,-1.334,-10.93
1461.84,-1.558,-10.354
1461.86,-1.759,-9.66
1461.88,-1.942,-8.757
1461.9,-2.11,-7.802
1461.92,-2.259,-6.597
1461.94,-2.378,-5.301
1461.96,-2.465,-4.163
1461.98,-2.54,-3.194
1462,-2.597,-2.238
1462.02,-2.63,-1.217
1462.04,-2.644,-0.223
1462.06,-2.639,0.759
1462.08,-2.614,1.767
1462.1,-2.568,2.788
1462.12,-2.502,3.809
1462.14,-2.416,4.843
1462.16,-2.309,5.904
1462.18,-2.18,7.003
1462.2,-2.029,8.103
1462.22,-1.855,9.163
1462.24,-1.662,10.158
1462.26,-1.448,11.022
1462.28,-1.217,11.742
1462.3,-0.977,12.278
1462.32,-0.724,12.841
1462.34,-0.468,13.483
1462.36,-0.185,13.653
1462.38,0.102,13.443
1462.4,0.344,13.025
1462.42,0.616,12.579
1462.44,0.864,11.899
1462.46,1.092,10.708
1462.48,1.296,9.359
1462.5,1.469,7.815
1462.52,1.61,6.139
1462.54,1.715,4.333
1462.56,1.786,2.422
1462.58,1.813,0.471
1462.6,1.803,-1.453
1462.62,1.755,-3.325
1462.64,1.67,-5.171
1462.66,1.547,-6.951
1462.68,1.39,-8.652
1462.7,1.2,-10.236
1462.72,0.979,-11.663
1462.74,0.73,-12.867
1462.76,0.46,-13.81
1462.78,0.174,-14.373
1462.8,-0.123,-14.543
1462.82,-0.412,-14.281
1462.84,-0.699,-13.496
1462.86,-0.963,-12.422
1462.88,-1.191,-11.48
1462.9,-1.411,-10.786
1462.92,-1.629,-10.119
1462.94,-1.819,-9.307
1462.96,-1.996,-8.482
1462.98,-2.16,-7.527
1463,-2.306,-6.283
1463.02,-2.413,-5.027
1463.04,-2.498,-3.979
1463.06,-2.571,-3.063
1463.08,-2.625,-2.081
1463.1,-2.653,-1.06
1463.12,-2.666,-0.079
1463.14,-2.658,0.903
1463.16,-2.63,1.911
1463.18,-2.581,2.906
1463.2,-2.513,3.901
1463.22,-2.425,4.935
1463.24,-2.317,6.008
1463.26,-2.185,7.095
1463.28,-2.033,8.181
1463.3,-1.858,9.242
1463.32,-1.662,10.249
1463.34,-1.447,11.14
1463.36,-1.214,11.846
1463.38,-0.969,12.357
1463.4,-0.718,12.894
1463.42,-0.46,13.548
1463.44,-0.176,13.744
1463.46,0.115,13.522
1463.48,0.357,13.064
1463.5,0.63,12.606
1463.52,0.877,11.925
1463.54,1.107,10.721
1463.56,1.31,9.359
1463.58,1.483,7.815
1463.6,1.624,6.139
1463.62,1.731,4.307
1463.64,1.799,2.369
1463.66,1.825,0.419
1463.68,1.814,-1.492
1463.7,1.766,-3.364
1463.72,1.679,-5.223
1463.74,1.557,-7.029
1463.76,1.396,-8.731
1463.78,1.205,-10.289
1463.8,0.983,-11.676
1463.82,0.735,-12.867
1463.84,0.465,-13.81
1463.86,0.179,-14.373
1463.88,-0.118,-14.53
1463.9,-0.407,-14.19
1463.92,-0.693,-13.326
1463.94,-0.949,-12.422
1463.96,-1.175,-11.598
1463.98,-1.415,-10.865
1464,-1.618,-10.053
1464.02,-1.81,-9.176
1464.04,-1.987,-8.404
1464.06,-2.147,-7.422
1464.08,-2.289,-6.178
1464.1,-2.399,-4.896
1464.12,-2.477,-3.783
1464.14,-2.546,-2.827
1464.16,-2.595,-1.859
1464.18,-2.62,-0.825
1464.2,-2.626,0.17
1464.22,-2.614,1.152
1464.24,-2.581,2.16
1464.26,-2.527,3.194
1464.28,-2.454,4.241
1464.3,-2.358,5.301
1464.32,-2.242,6.375
1464.34,-2.103,7.461
1464.36,-1.943,8.561
1464.38,-1.761,9.621
1464.4,-1.557,10.59
1464.42,-1.335,11.454
1464.44,-1.098,12.03
1464.46,-0.845,12.54
1464.48,-0.603,13.103
1464.5,-0.325,13.561
1464.52,-0.046,13.587
1464.54,0.225,13.208
1464.56,0.478,12.789
1464.58,0.737,12.239
1464.6,0.977,11.349
1464.62,1.194,10.066
1464.64,1.382,8.6
1464.66,1.539,7.016
1464.68,1.663,5.315
1464.7,1.755,3.469
1464.72,1.805,1.518
1464.74,1.814,-0.432
1464.76,1.786,-2.317
1464.78,1.722,-4.163
1464.8,1.619,-5.982
1464.82,1.481,-7.749
1464.84,1.308,-9.412
1464.86,1.103,-10.93
1464.88,0.869,-12.239
1464.9,0.609,-13.313
1464.92,0.333,-14.098
1464.94,0.041,-14.478
1464.96,-0.254,-14.451
1464.98,-0.54,-13.954
1465,-0.82,-13.025
1465.02,-1.068,-12.108
1465.04,-1.29,-11.244
1465.06,-1.524,-10.485
1465.08,-1.714,-9.7
1465.1,-1.902,-8.914
1465.12,-2.075,-8.155
1465.14,-2.232,-7.016
1465.16,-2.362,-5.72
1465.18,-2.457,-4.542
1465.2,-2.537,-3.574
1465.22,-2.603,-2.657
1465.24,-2.645,-1.676
1465.26,-2.667,-0.694
1465.28,-2.673,0.275
1465.3,-2.658,1.27
1465.32,-2.622,2.265
1465.34,-2.567,3.246
1465.36,-2.493,4.267
1465.38,-2.397,5.328
1465.4,-2.279,6.401
1465.42,-2.141,7.474
1465.44,-1.981,8.548
1465.46,-1.799,9.608
1465.48,-1.596,10.59
1465.5,-1.373,11.493
1465.52,-1.136,12.082
1465.54,-0.88,12.527
1465.56,-0.639,13.077
1465.58,-0.366,13.666
1465.6,-0.08,13.823
1465.62,0.201,13.483
1465.64,0.452,13.011
1465.66,0.719,12.462
1465.68,0.963,11.624
1465.7,1.186,10.354
1465.72,1.381,8.927
1465.74,1.544,7.357
1465.76,1.676,5.642
1465.78,1.773,3.77
1465.8,1.828,1.82
1465.82,1.844,-0.118
1465.84,1.824,-2.016
1465.86,1.764,-3.888
1465.88,1.667,-5.733
1465.9,1.535,-7.514
1465.92,1.365,-9.202
1465.94,1.164,-10.76
1465.96,0.933,-12.121
1465.98,0.675,-13.26
1466,0.399,-14.137
1466.02,0.107,-14.595
1466.04,-0.195,-14.648
1466.06,-0.482,-14.281
1466.08,-0.77,-13.391
1466.1,-1.032,-12.396
1466.12,-1.252,-11.454
1466.14,-1.488,-10.76
1466.16,-1.689,-10.105
1466.18,-1.887,-9.333
1466.2,-2.066,-8.548
1466.22,-2.231,-7.422
1466.24,-2.37,-6.126
1466.26,-2.472,-4.922
1466.28,-2.559,-3.953
1466.3,-2.633,-3.063
1466.32,-2.684,-2.094
1466.34,-2.714,-1.126
1466.36,-2.728,-0.183
1466.38,-2.724,0.785
1466.4,-2.697,1.767
1466.42,-2.652,2.723
1466.44,-2.589,3.678
1466.46,-2.505,4.686
1466.48,-2.402,5.72
1466.5,-2.276,6.768
1466.52,-2.132,7.828
1466.54,-1.963,8.888
1466.56,-1.775,9.935
1466.58,-1.566,10.891
1466.6,-1.337,11.716
1466.62,-1.095,12.148
1466.64,-0.84,12.488
1466.66,-0.605,13.077
1466.68,-0.328,13.679
1466.7,-0.038,13.915
1466.72,0.234,13.6
1466.74,0.503,13.103
1466.76,0.763,12.435
1466.78,1.005,11.414
1466.8,1.224,10.105
1466.82,1.412,8.6
1466.84,1.569,6.964
1466.86,1.692,5.197
1466.88,1.78,3.299
1466.9,1.825,1.335
1466.92,1.832,-0.615
1466.94,1.8,-2.5
1466.96,1.731,-4.359
1466.98,1.626,-6.178
1467,1.483,-7.933
1467.02,1.307,-9.582
1467.04,1.098,-11.087
1467.06,0.861,-12.396
1467.08,0.598,-13.456
1467.1,0.319,-14.19
1467.12,0.025,-14.517
1467.14,-0.269,-14.464
1467.16,-0.556,-13.928
1467.18,-0.836,-12.867
1467.2,-1.079,-11.86
1467.22,-1.29,-11.1
1467.24,-1.525,-10.511
1467.26,-1.722,-9.739
1467.28,-1.909,-8.81
1467.3,-2.075,-7.959
1467.32,-2.229,-6.82
1467.34,-2.356,-5.524
1467.36,-2.446,-4.307
1467.38,-2.521,-3.312
1467.4,-2.581,-2.382
1467.42,-2.619,-1.374
1467.44,-2.634,-0.367
1467.46,-2.633,0.628
1467.48,-2.611,1.623
1467.5,-2.567,2.631
1467.52,-2.505,3.652
1467.54,-2.422,4.699
1467.56,-2.317,5.773
1467.58,-2.191,6.846
1467.6,-2.044,7.919
1467.62,-1.874,8.993
1467.64,-1.684,10.027
1467.66,-1.472,10.943
1467.68,-1.243,11.702
1467.7,-1.002,12.226
1467.72,-0.749,12.789
1467.74,-0.498,13.43
1467.76,-0.212,13.587
1467.78,0.072,13.378
1467.8,0.311,13.038
1467.82,0.584,12.71
1467.84,0.84,12.069
1467.86,1.068,10.865
1467.88,1.275,9.53
1467.9,1.453,8.037
1467.92,1.599,6.375
1467.94,1.709,4.581
1467.96,1.784,2.67
1467.98,1.817,0.72
1468,1.811,-1.204
1468.02,1.769,-3.063
1468.04,1.689,-4.909
1468.06,1.572,-6.728
1468.08,1.418,-8.469
1468.1,1.232,-10.066
1468.12,1.013,-11.493
1468.14,0.77,-12.723
1468.16,0.501,-13.705
1468.18,0.217,-14.334
1468.2,-0.079,-14.556
1468.22,-0.371,-14.32
1468.24,-0.658,-13.574
1468.26,-0.922,-12.553
1468.28,-1.156,-11.663
1468.3,-1.379,-10.93
1468.32,-1.601,-10.21
1468.34,-1.789,-9.386
1468.36,-1.971,-8.561
1468.38,-2.135,-7.645
1468.4,-2.282,-6.401
1468.42,-2.395,-5.118
1468.44,-2.479,-4.019
1468.46,-2.553,-3.089
1468.48,-2.608,-2.121
1468.5,-2.637,-1.086
1468.52,-2.648,-0.092
1468.54,-2.642,0.89
1468.56,-2.614,1.911
1468.58,-2.565,2.932
1468.6,-2.496,3.94
1468.62,-2.408,4.974
1468.64,-2.298,6.048
1468.66,-2.166,7.147
1468.68,-2.012,8.234
1468.7,-1.836,9.281
1468.72,-1.64,10.263
1468.74,-1.425,11.14
1468.76,-1.192,11.833
1468.78,-0.947,12.409
1468.8,-0.697,12.92
1468.82,-0.43,13.43
1468.84,-0.159,13.548
1468.86,0.126,13.352
1468.88,0.372,12.998
1468.9,0.641,12.501
1468.92,0.886,11.755
1468.94,1.112,10.537
1468.96,1.312,9.15
1468.98,1.48,7.592
1469,1.616,5.917
1469.02,1.718,4.097
1469.04,1.783,2.16
1469.06,1.805,0.196
1469.08,1.789,-1.715
1469.1,1.736,-3.574
1469.12,1.646,-5.406
1469.14,1.519,-7.186
1469.16,1.357,-8.862
1469.18,1.162,-10.393
1469.2,0.939,-11.768
1469.22,0.69,-12.933
1469.24,0.418,-13.823
1469.26,0.132,-14.307
1469.28,-0.162,-14.386
1469.3,-0.448,-13.98
1469.32,-0.729,-13.038
1469.34,-0.979,-12.082
1469.36,-1.195,-11.284
1469.38,-1.431,-10.642
1469.4,-1.63,-9.883
1469.42,-1.821,-8.98
1469.44,-1.992,-8.168
1469.46,-2.147,-7.134
1469.48,-2.284,-5.864
1469.5,-2.384,-4.581
1469.52,-2.458,-3.495
1469.54,-2.523,-2.553
1469.56,-2.565,-1.558
1469.58,-2.584,-0.511
1469.6,-2.584,0.497
1469.62,-2.565,1.505
1469.64,-2.524,2.539
1469.66,-2.463,3.587
1469.68,-2.381,4.647
1469.7,-2.278,5.747
1469.72,-2.152,6.859
1469.74,-2.003,7.959
1469.76,-1.833,9.045
1469.78,-1.641,10.079
1469.8,-1.428,10.996
1469.82,-1.199,11.702
1469.84,-0.957,12.409
1469.86,-0.708,12.946
1469.88,-0.429,13.378
1469.9,-0.173,13.391
1469.92,0.113,13.221
1469.94,0.357,13.038
1469.96,0.628,12.566
1469.98,0.877,11.846
1470,1.101,10.655
1470.02,1.305,9.307
1470.04,1.478,7.762
1470.06,1.616,6.113
1470.08,1.722,4.372
1470.1,1.795,2.487
1470.12,1.824,0.511
1470.14,1.813,-1.44
1470.16,1.766,-3.299
1470.18,1.681,-5.131
1470.2,1.56,-6.925
1470.22,1.403,-8.639
1470.24,1.213,-10.223
1470.26,0.991,-11.65
1470.28,0.745,-12.867
1470.3,0.473,-13.823
1470.32,0.187,-14.399
1470.34,-0.11,-14.569
1470.36,-0.401,-14.32
1470.38,-0.688,-13.522
1470.4,-0.953,-12.553
1470.42,-1.18,-11.729
1470.44,-1.415,-10.996
1470.46,-1.634,-10.184
1470.48,-1.819,-9.294
1470.5,-1.998,-8.548
1470.52,-2.166,-7.658
1470.54,-2.312,-6.401
1470.56,-2.424,-5.118
1470.58,-2.509,-4.058
1470.6,-2.584,-3.142
1470.62,-2.639,-2.199
1470.64,-2.67,-1.217
1470.66,-2.686,-0.262
1470.68,-2.683,0.707
1470.7,-2.658,1.702
1470.72,-2.614,2.683
1470.74,-2.551,3.678
1470.76,-2.468,4.712
1470.78,-2.362,5.773
1470.8,-2.237,6.846
1470.82,-2.089,7.919
1470.84,-1.92,8.993
1470.86,-1.729,10.014
1470.88,-1.517,10.956
1470.9,-1.29,11.768
1470.92,-1.045,12.174
1470.94,-0.79,12.514
1470.96,-0.556,13.195
1470.98,-0.276,13.81
1471,0.025,13.954
1471.02,0.286,13.509
1471.04,0.556,12.92
1471.06,0.814,12.226
1471.08,1.048,11.14
1471.1,1.261,9.844
1471.12,1.445,8.364
1471.14,1.598,6.715
1471.16,1.715,4.935
1471.18,1.797,3.024
1471.2,1.838,1.06
1471.22,1.838,-0.877
1471.24,1.802,-2.762
1471.26,1.728,-4.621
1471.28,1.616,-6.44
1471.3,1.469,-8.181
1471.32,1.288,-9.817
1471.34,1.074,-11.31
1471.36,0.833,-12.593
1471.38,0.567,-13.627
1471.4,0.284,-14.32
1471.42,-0.013,-14.608
1471.44,-0.306,-14.464
1471.46,-0.595,-13.915
1471.48,-0.869,-12.998
1471.5,-1.12,-12.095
1471.52,-1.341,-11.244
1471.54,-1.574,-10.446
1471.56,-1.764,-9.647
1471.58,-1.951,-8.836
1471.6,-2.122,-8.011
1471.62,-2.276,-6.82
1471.64,-2.4,-5.537
1471.66,-2.491,-4.411
1471.68,-2.571,-3.469
1471.7,-2.634,-2.539
1471.72,-2.673,-1.545
1471.74,-2.694,-0.576
1471.76,-2.697,0.38
1471.78,-2.68,1.361
1471.8,-2.642,2.343
1471.82,-2.586,3.325
1471.84,-2.51,4.32
1471.86,-2.413,5.341
1471.88,-2.297,6.401
1471.9,-2.158,7.487
1471.92,-1.996,8.574
1471.94,-1.814,9.608
1471.96,-1.612,10.577
1471.98,-1.39,11.428
1472,-1.151,11.938
1472.02,-0.903,12.226
1472.04,-0.666,12.763
1472.06,-0.408,13.548
1472.08,-0.115,13.967
1472.1,0.171,13.771
1472.12,0.43,13.182
1472.14,0.699,12.514
1472.16,0.939,11.611
1472.18,1.164,10.367
1472.2,1.359,8.954
1472.22,1.524,7.37
1472.24,1.654,5.642
1472.26,1.753,3.757
1472.28,1.806,1.793
1472.3,1.822,-0.157
1472.32,1.8,-2.042
1472.34,1.74,-3.914
1472.36,1.643,-5.747
1472.38,1.51,-7.514
1472.4,1.341,-9.176
1472.42,1.14,-10.708
1472.44,0.911,-12.056
1472.46,0.655,-13.182
1472.48,0.38,-14.019
1472.5,0.09,-14.451
1472.52,-0.206,-14.491
1472.54,-0.493,-14.072
1472.56,-0.776,-12.985
1472.58,-1.029,-11.886
1472.6,-1.228,-11.113
1472.62,-1.467,-10.642
1472.64,-1.671,-9.988
1472.66,-1.863,-8.993
1472.68,-2.031,-8.09
1472.7,-2.187,-6.977
1472.72,-2.318,-5.694
1472.74,-2.413,-4.451
1472.76,-2.488,-3.416
1472.78,-2.551,-2.461
1472.8,-2.59,-1.44
1472.82,-2.606,-0.419
1472.84,-2.606,0.563
1472.86,-2.586,1.571
1472.88,-2.543,2.618
1472.9,-2.48,3.665
1472.92,-2.397,4.712
1472.94,-2.292,5.773
1472.96,-2.166,6.859
1472.98,-2.018,7.959
1473,-1.847,9.045
1473.02,-1.656,10.053
1473.04,-1.444,10.93
1473.06,-1.216,11.663
1473.08,-0.975,12.305
1473.1,-0.724,12.881
1473.12,-0.459,13.43
1473.14,-0.187,13.483
1473.16,0.099,13.247
1473.18,0.336,12.946
1473.2,0.608,12.527
1473.22,0.858,11.833
1473.24,1.081,10.629
1473.26,1.283,9.307
1473.28,1.458,7.815
1473.3,1.598,6.139
1473.32,1.704,4.333
1473.34,1.773,2.435
1473.36,1.802,0.484
1473.38,1.792,-1.44
1473.4,1.744,-3.312
1473.42,1.659,-5.144
1473.44,1.538,-6.925
1473.46,1.381,-8.626
1473.48,1.191,-10.184
1473.5,0.971,-11.585
1473.52,0.726,-12.789
1473.54,0.456,-13.731
1473.56,0.171,-14.281
1473.58,-0.123,-14.425
1473.6,-0.41,-14.072
1473.62,-0.694,-13.129
1473.64,-0.946,-12.148
1473.66,-1.162,-11.375
1473.68,-1.4,-10.786
1473.7,-1.605,-10.053
1473.72,-1.797,-9.124
1473.74,-1.971,-8.286
1473.76,-2.128,-7.278
