Time (s) Auto,Angle (rad) pi/2 postiv/lagt til venstre,Angular Velocity (rad/s) pi/2 postiv/lagt til venstre
438.36,0.366,11.074
438.38,0.583,10.21
438.4,0.778,9.019
438.42,0.946,7.645
438.44,1.085,6.139
438.46,1.192,4.542
438.48,1.268,2.867
438.5,1.308,1.139
438.52,1.313,-0.602
438.54,1.283,-2.291
438.56,1.221,-3.901
438.58,1.126,-5.419
438.6,1.002,-6.82
438.62,0.851,-8.063
438.64,0.677,-9.098
438.66,0.484,-9.896
438.68,0.278,-10.459
438.7,0.063,-10.773
438.72,-0.157,-10.799
438.74,-0.374,-10.485
438.76,-0.581,-9.739
438.78,-0.771,-8.744
438.8,-0.928,-7.789
438.82,-1.076,-7.108
438.84,-1.211,-6.584
438.86,-1.341,-5.93
438.88,-1.453,-5.079
438.9,-1.546,-4.058
438.92,-1.616,-3.011
438.94,-1.665,-1.95
438.96,-1.695,-0.903
438.98,-1.701,0.157
439,-1.689,1.217
439.02,-1.652,2.265
439.04,-1.598,3.312
439.06,-1.521,4.346
439.08,-1.423,5.38
439.1,-1.305,6.362
439.12,-1.167,7.252
439.14,-1.013,7.959
439.16,-0.845,8.469
439.18,-0.672,9.006
439.2,-0.492,9.634
439.22,-0.286,10.21
439.24,-0.075,10.524
439.26,0.137,10.498
439.28,0.349,10.223
439.3,0.55,9.503
439.32,0.738,8.443
439.34,0.888,7.357
439.36,1.024,6.349
439.38,1.147,5.288
439.4,1.241,3.94
439.42,1.305,2.422
439.44,1.338,0.851
439.46,1.34,-0.772
439.48,1.308,-2.461
439.5,1.243,-4.15
439.52,1.14,-5.747
439.54,1.01,-7.213
439.56,0.851,-8.535
439.58,0.666,-9.687
439.6,0.46,-10.629
439.62,0.239,-11.349
439.64,0.003,-11.82
439.66,-0.239,-12.017
439.68,-0.481,-11.925
439.7,-0.719,-11.558
439.72,-0.947,-10.956
439.74,-1.159,-10.223
439.76,-1.356,-9.49
439.78,-1.538,-8.679
439.8,-1.707,-7.749
439.82,-1.849,-6.938
439.84,-1.974,-6.283
439.86,-2.103,-5.707
439.88,-2.207,-5.079
439.9,-2.301,-4.438
439.92,-2.386,-3.835
439.94,-2.457,-3.155
439.96,-2.512,-2.435
439.98,-2.554,-1.715
440,-2.581,-1.008
440.02,-2.593,-0.314
440.04,-2.593,0.38
440.06,-2.579,1.086
440.08,-2.549,1.806
440.1,-2.507,2.539
440.12,-2.449,3.286
440.14,-2.375,4.058
440.16,-2.287,4.856
440.18,-2.182,5.681
440.2,-2.059,6.532
440.22,-1.921,7.383
440.24,-1.764,8.234
440.26,-1.591,8.993
440.28,-1.401,9.621
440.3,-1.205,9.791
440.32,-0.996,10.132
440.34,-0.822,10.996
440.36,-0.569,11.977
440.38,-0.313,12.527
440.4,-0.068,12.344
440.42,0.181,12.03
440.44,0.419,11.532
440.46,0.644,10.76
440.48,0.853,9.752
440.5,1.038,8.482
440.52,1.195,6.99
440.54,1.319,5.354
440.56,1.411,3.613
440.58,1.466,1.806
440.6,1.483,-0.013
440.62,1.464,-1.806
440.64,1.411,-3.6
440.66,1.321,-5.393
440.68,1.194,-7.082
440.7,1.034,-8.561
440.72,0.848,-9.804
440.74,0.639,-10.825
440.76,0.412,-11.611
440.78,0.171,-12.134
440.8,-0.077,-12.383
440.82,-0.328,-12.318
440.84,-0.575,-11.846
440.86,-0.809,-11.035
440.88,-1.018,-9.975
440.9,-1.21,-9.006
440.92,-1.371,-8.351
440.94,-1.536,-7.854
440.96,-1.693,-7.239
440.98,-1.83,-6.309
441,-1.946,-5.236
441.02,-2.04,-4.215
441.04,-2.111,-3.351
441.06,-2.171,-2.592
441.08,-2.218,-1.806
441.1,-2.245,-0.929
441.12,-2.254,-0.039
441.14,-2.246,0.838
441.16,-2.221,1.728
441.18,-2.177,2.631
441.2,-2.116,3.521
441.22,-2.036,4.411
441.24,-1.94,5.328
441.26,-1.824,6.257
441.28,-1.689,7.186
441.3,-1.536,8.063
441.32,-1.365,8.77
441.34,-1.18,9.071
441.36,-0.993,9.412
441.38,-0.82,10.197
441.4,-0.595,11.179
441.42,-0.353,11.781
441.44,-0.118,11.82
441.46,0.116,11.65
441.48,0.353,11.166
441.5,0.573,10.38
441.52,0.765,9.451
441.54,0.95,8.43
441.56,1.111,7.173
441.58,1.239,5.629
441.6,1.337,3.966
441.62,1.4,2.238
441.64,1.426,0.471
441.66,1.418,-1.283
441.68,1.374,-3.024
441.7,1.297,-4.752
441.72,1.184,-6.414
441.74,1.038,-7.946
441.76,0.864,-9.281
441.78,0.664,-10.393
441.8,0.445,-11.257
441.82,0.21,-11.86
441.84,-0.033,-12.187
441.86,-0.281,-12.213
441.88,-0.526,-11.912
441.9,-0.762,-11.257
441.92,-0.982,-10.328
441.94,-1.177,-9.333
441.96,-1.351,-8.535
441.98,-1.513,-7.933
442,-1.67,-7.33
442.02,-1.81,-6.597
442.04,-1.934,-5.642
442.06,-2.04,-4.634
442.08,-2.116,-3.744
442.1,-2.183,-3.011
442.12,-2.24,-2.304
442.14,-2.278,-1.466
442.16,-2.298,-0.589
442.18,-2.301,0.262
442.2,-2.287,1.113
442.22,-2.257,1.977
442.24,-2.209,2.854
442.26,-2.143,3.731
442.28,-2.059,4.608
442.3,-1.959,5.511
442.32,-1.839,6.44
442.34,-1.701,7.357
442.36,-1.544,8.221
442.38,-1.371,8.967
442.4,-1.183,9.425
442.42,-0.986,9.765
442.44,-0.798,10.393
442.46,-0.584,11.244
442.48,-0.338,11.873
442.5,-0.097,12.017
442.52,0.14,11.807
442.54,0.38,11.297
442.56,0.602,10.511
442.58,0.796,9.569
442.6,0.985,8.535
442.62,1.145,7.252
442.64,1.277,5.707
442.66,1.374,4.058
442.68,1.44,2.304
442.7,1.469,0.497
442.72,1.459,-1.296
442.74,1.415,-3.05
442.76,1.338,-4.804
442.78,1.224,-6.519
442.8,1.074,-8.103
442.82,0.897,-9.464
442.84,0.693,-10.603
442.86,0.47,-11.48
442.88,0.229,-12.108
442.9,-0.017,-12.475
442.92,-0.273,-12.54
442.94,-0.525,-12.278
442.96,-0.768,-11.624
442.98,-0.996,-10.721
443,-1.197,-9.66
443.02,-1.382,-8.823
443.04,-1.541,-8.26
443.06,-1.711,-7.736
443.08,-1.86,-7.016
443.1,-1.992,-6.008
443.12,-2.102,-5.092
443.14,-2.19,-4.333
443.16,-2.273,-3.678
443.18,-2.34,-2.958
443.2,-2.392,-2.121
443.22,-2.425,-1.296
443.24,-2.443,-0.497
443.26,-2.446,0.301
443.28,-2.432,1.113
443.3,-2.4,1.911
443.32,-2.355,2.697
443.34,-2.293,3.508
443.36,-2.215,4.359
443.38,-2.119,5.21
443.4,-2.006,6.061
443.42,-1.877,6.925
443.44,-1.729,7.775
443.46,-1.565,8.522
443.48,-1.385,9.176
443.5,-1.199,9.399
443.52,-0.994,9.765
443.54,-0.828,10.577
443.56,-0.584,11.532
443.58,-0.339,12.095
443.6,-0.099,11.899
443.62,0.138,11.585
443.64,0.366,11.14
443.66,0.586,10.485
443.68,0.79,9.543
443.7,0.972,8.299
443.72,1.125,6.846
443.74,1.247,5.249
443.76,1.337,3.56
443.78,1.39,1.793
443.8,1.409,0.013
443.82,1.39,-1.754
443.84,1.338,-3.482
443.86,1.25,-5.157
443.88,1.131,-6.754
443.9,0.979,-8.207
443.92,0.8,-9.464
443.94,0.597,-10.459
443.96,0.377,-11.205
443.98,0.146,-11.689
444,-0.094,-11.899
444.02,-0.335,-11.807
444.04,-0.57,-11.336
444.06,-0.795,-10.511
444.08,-0.994,-9.49
444.1,-1.172,-8.561
444.12,-1.332,-7.893
444.14,-1.484,-7.33
444.16,-1.629,-6.676
444.18,-1.755,-5.825
444.2,-1.863,-4.817
444.22,-1.949,-3.731
444.24,-2.012,-2.683
444.26,-2.053,-1.78
444.28,-2.081,-0.969
444.3,-2.094,-0.131
444.32,-2.088,0.772
444.34,-2.062,1.702
444.36,-2.02,2.657
444.38,-1.957,3.626
444.4,-1.874,4.595
444.42,-1.773,5.563
444.44,-1.652,6.532
444.46,-1.511,7.487
444.48,-1.352,8.325
444.5,-1.175,8.888
444.52,-0.99,9.215
444.54,-0.807,9.739
444.56,-0.614,10.603
444.58,-0.382,11.414
444.6,-0.143,11.781
444.62,0.091,11.716
444.64,0.327,11.336
444.66,0.554,10.511
444.68,0.754,9.464
444.7,0.925,8.443
444.72,1.092,7.409
444.74,1.23,6.139
444.76,1.338,4.568
444.78,1.415,2.893
444.8,1.455,1.165
444.82,1.461,-0.589
444.84,1.433,-2.382
444.86,1.367,-4.202
444.88,1.263,-5.943
444.9,1.126,-7.527
444.92,0.96,-8.927
444.94,0.767,-10.145
444.96,0.551,-11.126
444.98,0.317,-11.886
445,0.074,-12.396
445.02,-0.182,-12.619
445.04,-0.437,-12.54
445.06,-0.686,-12.108
445.08,-0.927,-11.375
445.1,-1.145,-10.42
445.12,-1.343,-9.464
445.14,-1.521,-8.692
445.16,-1.687,-8.05
445.18,-1.844,-7.396
445.2,-1.985,-6.65
445.22,-2.11,-5.93
445.24,-2.22,-5.288
445.26,-2.322,-4.647
445.28,-2.408,-3.927
445.3,-2.479,-3.155
445.32,-2.534,-2.409
445.34,-2.575,-1.676
445.36,-2.601,-0.956
445.38,-2.612,-0.236
445.4,-2.611,0.471
445.42,-2.593,1.178
445.44,-2.564,1.898
445.46,-2.518,2.618
445.48,-2.458,3.364
445.5,-2.384,4.123
445.52,-2.293,4.896
445.54,-2.188,5.681
445.56,-2.067,6.493
445.58,-1.929,7.317
445.6,-1.773,8.116
445.62,-1.604,8.77
445.64,-1.418,9.294
445.66,-1.232,9.477
445.68,-1.03,9.87
445.7,-0.855,10.721
445.72,-0.611,11.611
445.74,-0.364,12.017
445.76,-0.127,11.807
445.78,0.104,11.572
445.8,0.338,11.205
445.82,0.559,10.498
445.84,0.762,9.438
445.86,0.939,8.142
445.88,1.09,6.663
445.9,1.208,5.053
445.92,1.293,3.351
445.94,1.343,1.597
445.96,1.357,-0.183
445.98,1.335,-1.937
446,1.279,-3.626
446.02,1.189,-5.223
446.04,1.068,-6.702
446.06,0.919,-8.024
446.08,0.745,-9.163
446.1,0.55,-10.092
446.12,0.338,-10.786
446.14,0.115,-11.218
446.16,-0.115,-11.349
446.18,-0.344,-11.14
446.2,-0.565,-10.511
446.22,-0.771,-9.673
446.24,-0.949,-8.744
446.26,-1.122,-7.893
446.28,-1.264,-7.213
446.3,-1.403,-6.584
446.32,-1.533,-5.904
446.34,-1.643,-4.961
446.36,-1.733,-3.901
446.38,-1.799,-2.867
446.4,-1.846,-1.872
446.42,-1.874,-0.89
446.44,-1.882,0.118
446.46,-1.869,1.152
446.48,-1.836,2.186
446.5,-1.781,3.207
446.52,-1.707,4.228
446.54,-1.613,5.249
446.56,-1.497,6.257
446.58,-1.362,7.226
446.6,-1.208,8.063
446.62,-1.035,8.639
446.64,-0.856,9.15
446.66,-0.677,9.817
446.68,-0.468,10.524
446.7,-0.245,11.022
446.72,-0.025,11.166
446.74,0.203,11.074
446.76,0.424,10.59
446.78,0.635,9.647
446.8,0.814,8.6
446.82,0.971,7.618
446.84,1.12,6.597
446.86,1.243,5.315
446.88,1.334,3.757
446.9,1.395,2.107
446.92,1.418,0.419
446.94,1.411,-1.27
446.96,1.368,-2.971
446.98,1.293,-4.712
447,1.18,-6.388
447.02,1.034,-7.919
447.04,0.861,-9.242
447.06,0.661,-10.354
447.08,0.443,-11.27
447.1,0.209,-11.951
447.12,-0.039,-12.37
447.14,-0.291,-12.488
447.16,-0.542,-12.318
447.18,-0.787,-11.846
447.2,-1.021,-11.113
447.22,-1.233,-10.249
447.24,-1.429,-9.477
447.26,-1.608,-8.757
447.28,-1.783,-7.933
447.3,-1.931,-7.121
447.32,-2.059,-6.388
447.34,-2.187,-5.838
447.36,-2.293,-5.315
447.38,-2.397,-4.739
447.4,-2.487,-4.11
447.42,-2.562,-3.403
447.44,-2.622,-2.71
447.46,-2.67,-2.042
447.48,-2.703,-1.374
447.5,-2.725,-0.707
447.52,-2.732,-0.052
447.54,-2.727,0.602
447.56,-2.708,1.257
447.58,-2.677,1.924
447.6,-2.631,2.592
447.62,-2.573,3.286
447.64,-2.501,3.992
447.66,-2.413,4.712
447.68,-2.312,5.445
447.7,-2.196,6.218
447.72,-2.064,7.016
447.74,-1.915,7.802
447.76,-1.751,8.522
447.78,-1.572,9.124
447.8,-1.384,9.516
447.82,-1.188,9.778
447.84,-0.994,10.354
447.86,-0.789,11.218
447.88,-0.54,11.938
447.9,-0.295,12.095
447.92,-0.055,11.899
447.94,0.178,11.637
447.96,0.415,11.14
447.98,0.631,10.263
448,0.828,9.045
448.02,0.996,7.658
448.04,1.136,6.126
448.06,1.243,4.503
448.08,1.316,2.801
448.1,1.356,1.06
448.12,1.359,-0.694
448.14,1.327,-2.422
448.16,1.261,-4.084
448.18,1.162,-5.668
448.2,1.034,-7.134
448.22,0.875,-8.43
448.24,0.693,-9.503
448.26,0.492,-10.315
448.28,0.276,-10.878
448.3,0.053,-11.192
448.32,-0.174,-11.231
448.34,-0.401,-10.956
448.36,-0.617,-10.236
448.38,-0.818,-9.268
448.4,-0.985,-8.273
448.42,-1.145,-7.501
448.44,-1.283,-6.925
448.46,-1.42,-6.296
448.48,-1.541,-5.524
448.5,-1.643,-4.529
448.52,-1.723,-3.469
448.54,-1.781,-2.409
448.56,-1.819,-1.388
448.58,-1.836,-0.393
448.6,-1.835,0.602
448.62,-1.813,1.61
448.64,-1.77,2.644
448.66,-1.707,3.678
448.68,-1.623,4.699
448.7,-1.519,5.707
448.72,-1.395,6.702
448.74,-1.25,7.618
448.76,-1.087,8.351
448.78,-0.913,8.757
448.8,-0.73,9.228
448.82,-0.556,9.922
448.84,-0.336,10.629
448.86,-0.116,11.035
448.88,0.105,10.982
448.9,0.327,10.721
448.92,0.539,10.014
448.94,0.737,8.954
448.96,0.897,7.841
448.98,1.043,6.794
449,1.173,5.694
449.02,1.275,4.32
449.04,1.348,2.762
449.06,1.387,1.126
449.08,1.393,-0.563
449.1,1.365,-2.291
449.12,1.302,-4.032
449.14,1.203,-5.707
449.16,1.071,-7.252
449.18,0.911,-8.626
449.2,0.724,-9.817
449.22,0.515,-10.812
449.24,0.289,-11.572
449.26,0.049,-12.069
449.28,-0.198,-12.278
449.3,-0.446,-12.213
449.32,-0.69,-11.873
449.34,-0.925,-11.284
449.36,-1.144,-10.537
449.38,-1.346,-9.687
449.4,-1.533,-8.888
449.42,-1.698,-8.037
449.44,-1.858,-7.265
449.46,-1.985,-6.532
449.48,-2.117,-5.851
449.5,-2.223,-5.275
449.52,-2.323,-4.66
449.54,-2.413,-4.058
449.56,-2.487,-3.351
449.58,-2.546,-2.631
449.6,-2.592,-1.924
449.62,-2.623,-1.23
449.64,-2.641,-0.537
449.66,-2.645,0.157
449.68,-2.634,0.851
449.7,-2.611,1.545
449.72,-2.573,2.238
449.74,-2.521,2.958
449.76,-2.455,3.691
449.78,-2.373,4.438
449.8,-2.278,5.223
449.82,-2.166,6.034
449.84,-2.036,6.872
449.86,-1.891,7.71
449.88,-1.728,8.508
449.9,-1.549,9.058
449.92,-1.357,9.53
449.94,-1.175,9.896
449.96,-0.958,10.524
449.98,-0.76,11.336
450,-0.509,11.912
450.02,-0.264,12.187
450.04,-0.025,12.004
450.06,0.218,11.742
450.08,0.449,11.218
450.1,0.671,10.354
450.12,0.869,9.228
450.14,1.041,7.854
450.16,1.186,6.322
450.18,1.296,4.66
450.2,1.373,2.919
450.22,1.414,1.126
450.24,1.418,-0.694
450.26,1.385,-2.474
450.28,1.318,-4.189
450.3,1.217,-5.812
450.32,1.084,-7.33
450.34,0.922,-8.692
450.36,0.734,-9.857
450.38,0.525,-10.773
450.4,0.298,-11.401
450.42,0.064,-11.742
450.44,-0.174,-11.807
450.46,-0.412,-11.585
450.48,-0.642,-10.93
450.5,-0.858,-9.935
450.52,-1.04,-8.901
450.54,-1.206,-8.129
450.56,-1.362,-7.579
450.58,-1.511,-6.964
450.6,-1.645,-6.192
450.62,-1.759,-5.236
450.64,-1.857,-4.189
450.66,-1.927,-3.063
450.68,-1.979,-1.99
450.7,-2.004,-1.073
450.72,-2.018,-0.236
450.74,-2.017,0.615
450.76,-1.995,1.558
450.78,-1.954,2.526
450.8,-1.894,3.495
450.82,-1.814,4.477
450.84,-1.715,5.459
450.86,-1.596,6.427
450.88,-1.458,7.37
450.9,-1.301,8.194
450.92,-1.126,8.744
450.94,-0.944,9.124
450.96,-0.765,9.687
450.98,-0.567,10.485
451,-0.341,11.205
451.02,-0.11,11.532
451.04,0.123,11.493
451.06,0.353,11.1
451.08,0.575,10.223
451.1,0.77,9.15
451.12,0.933,8.116
451.14,1.093,7.069
451.16,1.225,5.799
451.18,1.326,4.241
451.2,1.396,2.605
451.22,1.431,0.903
451.24,1.433,-0.851
451.26,1.398,-2.631
451.28,1.327,-4.411
451.3,1.221,-6.1
451.32,1.081,-7.645
451.34,0.913,-9.019
451.36,0.718,-10.21
451.38,0.501,-11.166
451.4,0.267,-11.86
451.42,0.024,-12.305
451.44,-0.228,-12.475
451.46,-0.481,-12.344
451.48,-0.726,-11.912
451.5,-0.96,-11.231
451.52,-1.178,-10.263
451.54,-1.376,-9.202
451.56,-1.541,-8.404
451.58,-1.701,-7.919
451.6,-1.861,-7.422
451.62,-2.006,-6.61
451.64,-2.127,-5.733
451.66,-2.229,-5.013
451.68,-2.326,-4.398
451.7,-2.408,-3.731
451.72,-2.476,-2.971
451.74,-2.527,-2.225
451.76,-2.564,-1.492
451.78,-2.587,-0.772
451.8,-2.595,-0.039
451.82,-2.589,0.694
451.84,-2.567,1.401
451.86,-2.532,2.107
451.88,-2.483,2.827
451.9,-2.419,3.587
451.92,-2.34,4.359
451.94,-2.245,5.157
451.96,-2.135,5.982
451.98,-2.006,6.82
452,-1.861,7.658
452.02,-1.7,8.43
452.04,-1.522,9.006
452.06,-1.334,9.477
452.08,-1.147,9.844
452.1,-0.938,10.459
452.12,-0.737,11.27
452.14,-0.489,11.833
452.16,-0.243,12.004
452.18,-0.011,11.807
452.2,0.226,11.585
452.22,0.459,11.113
452.24,0.677,10.236
452.26,0.872,9.058
452.28,1.041,7.671
452.3,1.181,6.139
452.32,1.288,4.464
452.34,1.362,2.71
452.36,1.396,0.929
452.38,1.398,-0.851
452.4,1.363,-2.618
452.42,1.293,-4.346
452.44,1.188,-5.956
452.46,1.052,-7.422
452.48,0.889,-8.731
452.5,0.701,-9.857
452.52,0.492,-10.747
452.54,0.267,-11.375
452.56,0.033,-11.702
452.58,-0.206,-11.729
452.6,-0.44,-11.441
452.62,-0.668,-10.708
452.64,-0.878,-9.765
452.66,-1.052,-8.796
452.68,-1.227,-8.05
452.7,-1.374,-7.448
452.72,-1.522,-6.781
452.74,-1.651,-6.021
452.76,-1.764,-5.04
452.78,-1.855,-3.966
452.8,-1.923,-2.893
452.82,-1.968,-1.924
452.84,-1.998,-1.008
452.86,-2.011,-0.079
452.88,-2.001,0.864
452.9,-1.974,1.793
452.92,-1.931,2.723
452.94,-1.866,3.691
452.96,-1.783,4.686
452.98,-1.679,5.681
453,-1.555,6.65
453.02,-1.412,7.566
453.04,-1.252,8.312
453.06,-1.074,8.77
453.08,-0.895,9.242
453.1,-0.716,9.922
453.12,-0.501,10.708
453.14,-0.278,11.284
453.16,-0.049,11.493
453.18,0.185,11.441
453.2,0.415,10.904
453.22,0.631,9.935
453.24,0.814,8.875
453.26,0.979,7.88
453.28,1.133,6.807
453.3,1.258,5.445
453.32,1.351,3.875
453.34,1.414,2.238
453.36,1.442,0.524
453.38,1.436,-1.257
453.4,1.392,-3.063
453.42,1.313,-4.83
453.44,1.197,-6.48
453.46,1.051,-7.972
453.48,0.877,-9.294
453.5,0.677,-10.446
453.52,0.456,-11.362
453.54,0.218,-12.03
453.56,-0.028,-12.435
453.58,-0.283,-12.553
453.6,-0.536,-12.344
453.62,-0.781,-11.82
453.64,-1.012,-11.087
453.66,-1.225,-10.145
453.68,-1.422,-9.228
453.7,-1.588,-8.443
453.72,-1.756,-7.815
453.74,-1.904,-7.173
453.76,-2.044,-6.401
453.78,-2.161,-5.694
453.8,-2.267,-5.053
453.82,-2.364,-4.451
453.84,-2.447,-3.757
453.86,-2.515,-2.998
453.88,-2.567,-2.251
453.9,-2.604,-1.532
453.92,-2.628,-0.825
453.94,-2.637,-0.118
453.96,-2.633,0.589
453.98,-2.614,1.283
454,-2.581,1.977
454.02,-2.535,2.683
454.04,-2.474,3.416
454.06,-2.399,4.163
454.08,-2.308,4.922
454.1,-2.202,5.72
454.12,-2.08,6.532
454.14,-1.94,7.357
454.16,-1.786,8.155
454.18,-1.613,8.81
454.2,-1.428,9.32
454.22,-1.241,9.543
454.24,-1.04,10.014
454.26,-0.856,10.865
454.28,-0.611,11.716
454.3,-0.366,12.108
454.32,-0.124,11.886
454.34,0.11,11.624
454.36,0.339,11.244
454.38,0.565,10.577
454.4,0.77,9.543
454.42,0.949,8.234
454.44,1.101,6.768
454.46,1.222,5.157
454.48,1.308,3.443
454.5,1.36,1.676
454.52,1.376,-0.105
454.54,1.356,-1.872
454.56,1.301,-3.587
454.58,1.211,-5.21
454.6,1.09,-6.702
454.62,0.941,-8.05
454.64,0.767,-9.242
454.66,0.569,-10.21
454.68,0.353,-10.917
454.7,0.129,-11.336
454.72,-0.104,-11.467
454.74,-0.335,-11.297
454.76,-0.559,-10.695
454.78,-0.771,-9.831
454.8,-0.95,-8.849
454.82,-1.123,-8.024
454.84,-1.269,-7.422
454.86,-1.415,-6.82
454.88,-1.549,-6.1
454.9,-1.662,-5.105
454.92,-1.755,-4.032
454.94,-1.822,-2.985
454.96,-1.872,-1.99
454.98,-1.902,-1.034
455,-1.913,-0.052
455.02,-1.905,0.942
455.04,-1.876,1.95
455.06,-1.827,2.971
455.08,-1.758,3.992
455.1,-1.667,5.013
455.12,-1.557,6.008
455.14,-1.426,6.977
455.16,-1.277,7.854
455.18,-1.109,8.495
455.2,-0.931,8.954
455.22,-0.752,9.53
455.24,-0.559,10.276
455.26,-0.338,10.943
455.28,-0.113,11.27
455.3,0.115,11.244
455.32,0.341,10.917
455.34,0.558,10.066
455.36,0.754,9.006
455.38,0.909,8.011
455.4,1.07,7.042
455.42,1.203,5.864
455.44,1.305,4.346
455.46,1.378,2.749
455.48,1.417,1.073
455.5,1.422,-0.641
455.52,1.39,-2.369
455.54,1.327,-4.11
455.56,1.227,-5.812
455.58,1.092,-7.396
455.6,0.928,-8.783
455.62,0.738,-9.988
455.64,0.526,-10.996
455.66,0.295,-11.768
455.68,0.052,-12.265
455.7,-0.199,-12.475
455.72,-0.451,-12.409
455.74,-0.699,-12.056
455.76,-0.938,-11.428
455.78,-1.159,-10.616
455.8,-1.362,-9.778
455.82,-1.549,-8.954
455.84,-1.722,-8.142
455.86,-1.874,-7.383
455.88,-2.014,-6.676
455.9,-2.143,-6.061
455.92,-2.254,-5.485
455.94,-2.361,-4.909
455.96,-2.454,-4.28
455.98,-2.532,-3.574
456,-2.597,-2.867
456.02,-2.647,-2.173
456.04,-2.683,-1.492
456.06,-2.706,-0.812
456.08,-2.716,-0.131
456.1,-2.711,0.55
456.12,-2.694,1.217
456.14,-2.663,1.885
456.16,-2.619,2.553
456.18,-2.56,3.233
456.2,-2.49,3.94
456.22,-2.403,4.673
456.24,-2.303,5.419
456.26,-2.187,6.178
456.28,-2.056,6.951
456.3,-1.909,7.723
456.32,-1.747,8.43
456.34,-1.569,8.967
456.36,-1.384,9.372
456.38,-1.195,9.687
456.4,-0.996,10.276
456.42,-0.795,11.087
456.44,-0.551,11.729
456.46,-0.309,11.912
456.48,-0.074,11.729
456.5,0.157,11.48
456.52,0.39,10.982
456.54,0.605,10.105
456.56,0.796,8.901
456.58,0.963,7.527
456.6,1.1,6.021
456.62,1.205,4.411
456.64,1.277,2.736
456.66,1.315,1.008
456.68,1.318,-0.733
456.7,1.285,-2.435
456.72,1.219,-4.058
456.74,1.122,-5.576
456.76,0.994,-6.977
456.78,0.84,-8.207
456.8,0.663,-9.228
456.82,0.468,-10.027
456.84,0.259,-10.59
456.86,0.041,-10.878
456.88,-0.181,-10.865
456.9,-0.397,-10.511
456.92,-0.606,-9.726
456.94,-0.795,-8.77
456.96,-0.95,-7.841
456.98,-1.106,-7.16
457,-1.236,-6.597
457.02,-1.368,-5.917
457.04,-1.48,-5.092
457.06,-1.572,-4.071
457.08,-1.643,-3.024
457.1,-1.693,-1.963
457.12,-1.722,-0.916
457.14,-1.729,0.131
457.16,-1.717,1.178
457.18,-1.682,2.238
457.2,-1.627,3.286
457.22,-1.55,4.307
457.24,-1.455,5.328
457.26,-1.338,6.322
457.28,-1.2,7.239
457.3,-1.046,7.972
457.32,-0.878,8.495
457.34,-0.704,9.006
457.36,-0.523,9.634
457.38,-0.32,10.249
457.4,-0.105,10.616
457.42,0.108,10.629
457.44,0.322,10.367
457.46,0.528,9.647
457.48,0.719,8.613
457.5,0.869,7.579
457.52,1.015,6.624
457.54,1.142,5.563
457.56,1.241,4.163
457.58,1.31,2.631
457.6,1.346,1.047
457.62,1.352,-0.576
457.64,1.324,-2.238
457.66,1.263,-3.927
457.68,1.167,-5.55
457.7,1.038,-7.069
457.72,0.883,-8.43
457.74,0.699,-9.608
457.76,0.495,-10.59
457.78,0.273,-11.349
457.8,0.038,-11.86
457.82,-0.206,-12.095
457.84,-0.449,-12.056
457.86,-0.691,-11.702
457.88,-0.924,-11.074
457.9,-1.136,-10.328
457.92,-1.334,-9.621
457.94,-1.521,-8.836
457.96,-1.693,-7.893
457.98,-1.836,-7.042
458,-1.965,-6.362
458.02,-2.094,-5.812
458.04,-2.199,-5.236
458.06,-2.3,-4.634
458.08,-2.388,-4.032
458.1,-2.461,-3.338
458.12,-2.521,-2.618
458.14,-2.567,-1.898
458.16,-2.597,-1.191
458.18,-2.614,-0.497
458.2,-2.617,0.196
458.22,-2.606,0.89
458.24,-2.581,1.584
458.26,-2.543,2.304
458.28,-2.49,3.05
458.3,-2.421,3.809
458.32,-2.337,4.581
458.34,-2.238,5.38
458.36,-2.122,6.218
458.38,-1.99,7.069
458.4,-1.839,7.919
458.42,-1.673,8.757
458.44,-1.489,9.307
458.46,-1.29,9.608
458.48,-1.106,9.975
458.5,-0.903,10.786
458.52,-0.679,11.794
458.54,-0.423,12.331
458.56,-0.171,12.357
458.58,0.069,12.121
458.6,0.313,11.768
458.62,0.548,11.153
458.64,0.762,10.197
458.66,0.958,9.006
458.68,1.126,7.618
458.7,1.264,6.048
458.72,1.37,4.346
458.74,1.44,2.553
458.76,1.472,0.72
458.78,1.469,-1.1
458.8,1.428,-2.893
458.82,1.352,-4.647
458.84,1.241,-6.322
458.86,1.098,-7.88
458.88,0.924,-9.268
458.9,0.724,-10.433
458.92,0.503,-11.297
458.94,0.267,-11.899
458.96,0.025,-12.239
458.98,-0.226,-12.318
459,-0.473,-12.056
459.02,-0.713,-11.375
459.04,-0.935,-10.38
459.06,-1.129,-9.294
459.08,-1.302,-8.495
459.1,-1.461,-7.959
459.12,-1.623,-7.396
459.14,-1.764,-6.597
459.16,-1.887,-5.576
459.18,-1.989,-4.555
459.2,-2.067,-3.613
459.22,-2.13,-2.775
459.24,-2.179,-1.977
459.26,-2.21,-1.139
459.28,-2.224,-0.275
459.3,-2.221,0.602
459.32,-2.201,1.505
459.34,-2.161,2.422
459.36,-2.103,3.325
459.38,-2.028,4.228
459.4,-1.935,5.144
459.42,-1.822,6.074
459.44,-1.692,6.99
459.46,-1.543,7.867
459.48,-1.376,8.639
459.5,-1.194,9.045
459.52,-1.004,9.359
459.54,-0.829,10.027
459.56,-0.617,10.956
459.58,-0.377,11.624
459.6,-0.141,11.755
459.62,0.09,11.637
